Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Web-Based Applications in Healthcare and Biomedicine","Annals of Information Systems","","","","10.1007/978-1-4419-1274-9","Athina Lazakidou","2010","http://link.springer.com/book/10.1007/978-1-4419-1274-9","Book"
"Web 2.0 & Semantic Web","Annals of Information Systems","","","","10.1007/978-1-4419-1219-0","Vladan DevedžićDragan Gaševic","2009","http://link.springer.com/book/10.1007/978-1-4419-1219-0","Book"
"Virtual Communities, Social Networks and Collaboration","Annals of Information Systems","","","","10.1007/978-1-4614-3634-8","Athina A. Lazakidou","2012","http://link.springer.com/book/10.1007/978-1-4614-3634-8","Book"
"Information Technology and Product Development","Annals of Information Systems","","","","10.1007/978-1-4419-1081-3","Satish Nambisan","2009","http://link.springer.com/book/10.1007/978-1-4419-1081-3","Book"
"Knowledge Management and Organizational Learning","Annals of Information Systems","","","","10.1007/978-1-4419-0011-1","William R. King","2009","http://link.springer.com/book/10.1007/978-1-4419-0011-1","Book"
"New Trends in Data Warehousing and Data Analysis","Annals of Information Systems","","","","10.1007/978-0-387-87431-9","Stanislaw KozielskiRobert Wrembel","2009","http://link.springer.com/book/10.1007/978-0-387-87431-9","Book"
"Managing in the Information Economy","Annals of Information Systems","","","","10.1007/978-0-387-36892-4","Uday ApteUday Karmarkar","2007","http://link.springer.com/book/10.1007/978-0-387-36892-4","Book"
"Data Mining","Annals of Information Systems","","","","10.1007/978-1-4419-1280-0","Robert StahlbockSven F. CroneStefan Lessmann","2010","http://link.springer.com/book/10.1007/978-1-4419-1280-0","Book"
"Data Mining for Social Network Data","Annals of Information Systems","","","","10.1007/978-1-4419-6287-4","Nasrullah MemonJennifer Jie XuDavid L. HicksHsinchun Chen","2010","http://link.springer.com/book/10.1007/978-1-4419-6287-4","Book"
"Matheuristics","Annals of Information Systems","","","","10.1007/978-1-4419-1306-7","Vittorio ManiezzoThomas StützleStefan Voß","2010","http://link.springer.com/book/10.1007/978-1-4419-1306-7","Book"
"Semantic e-Science","Annals of Information Systems","","","","10.1007/978-1-4419-5908-9","Huajun ChenYimin WangKei-Hoi Cheung","2010","http://link.springer.com/book/10.1007/978-1-4419-5908-9","Book"
"Security Informatics","Annals of Information Systems","","","","10.1007/978-1-4419-1325-8","Christopher C. YangMichael ChauJau-Hwang WangHsinchun Chen","2010","http://link.springer.com/book/10.1007/978-1-4419-1325-8","Book"
"Decision Support","Annals of Information Systems","","","","10.1007/978-1-4419-6181-5","David SchuffDavid ParadiceFrada BursteinDaniel J. PowerRamesh Sharda","2011","http://link.springer.com/book/10.1007/978-1-4419-6181-5","Book"
"Reshaping Society through Analytics, Collaboration, and Decision Support","Annals of Information Systems","","","","10.1007/978-3-319-11575-7","Lakshmi S. IyerDaniel J. Power","2015","http://link.springer.com/book/10.1007/978-3-319-11575-7","Book"
"Real World Data Mining Applications","Annals of Information Systems","","","","10.1007/978-3-319-07812-0","Mahmoud Abou-NasrStefan LessmannRobert StahlbockGary M. Weiss","2015","http://link.springer.com/book/10.1007/978-3-319-07812-0","Book"
"Supporting Real Time Decision-Making","Annals of Information Systems","","","","10.1007/978-1-4419-7406-8","Frada BursteinPatrick BrézillonArkady Zaslavsky","2011","http://link.springer.com/book/10.1007/978-1-4419-7406-8","Book"
"Concepts and Trends in Healthcare Information Systems","Annals of Information Systems","","","","10.1007/978-3-319-06844-2","Dionysios-Dimitrios KoutsourisAthina A. Lazakidou","2014","http://link.springer.com/book/10.1007/978-3-319-06844-2","Book"
"Decision Support for Global Enterprises","Annals of Information Systems","","","","10.1007/978-0-387-48137-1","Uday KulkarniDaniel J. PowerRamesh Sharda","2007","http://link.springer.com/book/10.1007/978-0-387-48137-1","Book"
