Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Kinematics and Trajectory Synthesis of Manipulation Robots","Communications and Control Engineering Series","","","","10.1007/978-3-642-82195-0","D. Sc., Ph. D. Miomir VukobratovićM. Sc. Manja Kirćanski","1986","http://link.springer.com/book/10.1007/978-3-642-82195-0","Book"
"Flow Control by Feedback","Communications and Control Engineering","","","","10.1007/978-1-4471-3805-1","Ole Morten Aamo PhDMiroslav Krstić PhD","2003","http://link.springer.com/book/10.1007/978-1-4471-3805-1","Book"
"Non-linear Control for Underactuated Mechanical Systems","Communications and Control Engineering","","","","10.1007/978-1-4471-0177-2","Isabelle FantoniRogelio Lozano","2002","http://link.springer.com/book/10.1007/978-1-4471-0177-2","Book"
"Low Rank Approximation","Communications and Control Engineering","","","","10.1007/978-1-4471-2227-2","Ivan Markovsky","2012","http://link.springer.com/book/10.1007/978-1-4471-2227-2","Book"
"Fundamental Limitations in Filtering and Control","Communications and Control Engineering","","","","10.1007/978-1-4471-0965-5","María M. Seron PhDJulio H. Braslavsky PhDGraham C. Goodwin","1997","http://link.springer.com/book/10.1007/978-1-4471-0965-5","Book"
"Analysis and Decision Making in Uncertain Systems","Communications and Control Engineering","","","","10.1007/978-1-4471-3760-3","Professor Zdzislaw Bubnicki PhD","2004","http://link.springer.com/book/10.1007/978-1-4471-3760-3","Book"
"Robust and H∞ Control","Communications and Control Engineering","","","","10.1007/978-1-4471-3653-8","Ben M. Chen PhD","2000","http://link.springer.com/book/10.1007/978-1-4471-3653-8","Book"
"Dynamics of Manipulation Robots","Communications and Control Engineering Series","","","","10.1007/978-3-642-81854-7","D. Sc., Ph. D. Miomir VukobratovićPh. D. Veljko Potkonjak","1982","http://link.springer.com/book/10.1007/978-3-642-81854-7","Book"
"Stability and Stabilization of Nonlinear Systems","Communications and Control Engineering","","","","10.1007/978-0-85729-513-2","Iasson KarafyllisZhong-Ping Jiang","2011","http://link.springer.com/book/10.1007/978-0-85729-513-2","Book"
"Robust Control Design Using H-∞ Methods","Communications and Control Engineering","","","","10.1007/978-1-4471-0447-6","Ian R. Petersen BE,MSEE,PhDValery A. Ugrinovskii PhDAndrey V. Savkin PhD","2000","http://link.springer.com/book/10.1007/978-1-4471-0447-6","Book"
"Stabilization of Navier–Stokes Flows","Communications and Control Engineering","","","","10.1007/978-0-85729-043-4","Viorel Barbu","2011","http://link.springer.com/book/10.1007/978-0-85729-043-4","Book"
"Control of Complex and Uncertain Systems","Communications and Control Engineering","","","","10.1007/978-1-4471-0771-2","Stanislav V. Emelyanov PhDSergey K. Korovin PhD","2000","http://link.springer.com/book/10.1007/978-1-4471-0771-2","Book"
"Sliding Modes in Control and Optimization","Communications and Control Engineering Series","","","","10.1007/978-3-642-84379-2","Prof. Vadim I. Utkin","1992","http://link.springer.com/book/10.1007/978-3-642-84379-2","Book"
"Nonsmooth Mechanics","Communications and Control Engineering","","","","10.1007/978-1-4471-0557-2","Bernard Brogliato PhD","1999","http://link.springer.com/book/10.1007/978-1-4471-0557-2","Book"
"Analysis of Periodically Time-Varying Systems","Communications and Control Engineering Series","","","","10.1007/978-3-642-81873-8","J. A. Richards","1983","http://link.springer.com/book/10.1007/978-3-642-81873-8","Book"
"Cooperative Control Design","Communications and Control Engineering","","","","10.1007/978-1-4614-0014-1","He BaiMurat ArcakJohn Wen","2011","http://link.springer.com/book/10.1007/978-1-4614-0014-1","Book"
"Nonlinear Control Systems","Communications and Control Engineering","","","","10.1007/978-1-84628-615-5","Professor Alberto Isidori","1995","http://link.springer.com/book/10.1007/978-1-84628-615-5","Book"
"Functional Adaptive Control","Communications and Control Engineering","","","","10.1007/978-1-4471-0319-6","Simon G. Fabri PhDVisakan Kadirkamanathan PhD","2001","http://link.springer.com/book/10.1007/978-1-4471-0319-6","Book"
"Robust Control","Communications and Control Engineering","","","","10.1007/978-1-4471-0207-6","Professor Jürgen Ackermann","2002","http://link.springer.com/book/10.1007/978-1-4471-0207-6","Book"
"Direct Adaptive Control Algorithms: Theory and Applications","Communications and Control Engineering Series","","","","10.1007/978-1-4684-0217-9","Howard KaufmanIzhak Bar-KanaKenneth Sobel","1994","http://link.springer.com/book/10.1007/978-1-4684-0217-9","Book"
"Positive 1D and 2D Systems","Communications and Control Engineering","","","","10.1007/978-1-4471-0221-2","Tadeusz Kaczorek DSc","2002","http://link.springer.com/book/10.1007/978-1-4471-0221-2","Book"
"Data-Driven Controller Design","Communications and Control Engineering","","","","10.1007/978-94-007-2300-9","Alexandre Sanfelice BazanellaLucíola CampestriniDiego Eckhard","2012","http://link.springer.com/book/10.1007/978-94-007-2300-9","Book"
"Control of Complex Systems","Communications and Control Engineering","","","","10.1007/978-1-4419-1216-9","Aleksandar ZecevicDragoslav D. Siljak","2010","http://link.springer.com/book/10.1007/978-1-4419-1216-9","Book"
"Control of Manipulation Robots","Communications and Control Engineering Series","","","","10.1007/978-3-642-81857-8","D. Sc., Ph. D. Miomir VukobratovićPh. D. Dragan Stokić","1982","http://link.springer.com/book/10.1007/978-3-642-81857-8","Book"
"Nonlinear Control Systems II","Communications and Control Engineering","","","","10.1007/978-1-4471-0549-7","Alberto Isidori","1999","http://link.springer.com/book/10.1007/978-1-4471-0549-7","Book"
"Sampled-Data Control Systems","Communications and Control Engineering Series","","","","10.1007/978-3-642-82554-5","Dr. Jürgen Ackermann","1985","http://link.springer.com/book/10.1007/978-3-642-82554-5","Book"
"Distributed Coordination of Multi-agent Networks","Communications and Control Engineering","","","","10.1007/978-0-85729-169-1","Wei RenYongcan Cao","2011","http://link.springer.com/book/10.1007/978-0-85729-169-1","Book"
"Model Reduction for Control System Design","Communications and Control Engineering","","","","10.1007/978-1-4471-0283-0","Goro Obinata PhDBrian D. O. Anderson PhD","2001","http://link.springer.com/book/10.1007/978-1-4471-0283-0","Book"
"Discrete Systems","Communications and Control Engineering Series","","","","10.1007/978-3-642-82327-5","Magdi S. MahmoudMadan G. Singh","1984","http://link.springer.com/book/10.1007/978-3-642-82327-5","Book"
"Direct Adaptive Control Algorithms","Communications and Control Engineering Series","","","","10.1007/978-1-4612-0657-6","Howard KaufmanItzhak BarkanaKenneth Sobel","1998","http://link.springer.com/book/10.1007/978-1-4612-0657-6","Book"
"Adaptive Control","Communications and Control Engineering","","","","10.1007/978-0-85729-343-5","Professor I. D. LandauProfessor R. LozanoProfessor M. M’Saad","1998","http://link.springer.com/book/10.1007/978-0-85729-343-5","Book"
"Analysis and Control of Boolean Networks","Communications and Control Engineering","","","","10.1007/978-0-85729-097-7","Daizhan ChengHongsheng QiZhiqiang Li","2011","http://link.springer.com/book/10.1007/978-0-85729-097-7","Book"
"Optimal Sampled-Data Control Systems","Communications and Control Engineering Series","","","","10.1007/978-1-4471-3037-6","Tongwen Chen PhDBruce Allen Francis PhD","1995","http://link.springer.com/book/10.1007/978-1-4471-3037-6","Book"
"Dynamic Surface Control of Uncertain Nonlinear Systems","Communications and Control Engineering","","","","10.1007/978-0-85729-632-0","Bongsob SongJ. Karl Hedrick","2011","http://link.springer.com/book/10.1007/978-0-85729-632-0","Book"
"Stochastic Reachability Analysis of Hybrid Systems","Communications and Control Engineering","","","","10.1007/978-1-4471-2795-6","Luminita Manuela Bujorianu","2012","http://link.springer.com/book/10.1007/978-1-4471-2795-6","Book"
"L2 - Gain and Passivity Techniques in Nonlinear Control","Communications and Control Engineering","","","","10.1007/978-1-4471-0507-7","Arjan van der Schaft Dr","2000","http://link.springer.com/book/10.1007/978-1-4471-0507-7","Book"
"Computer Controlled Systems","Communications and Control Engineering","","","","10.1007/978-1-4471-0521-3","Efim N. RossenwasserBernhard P. Lampe","2000","http://link.springer.com/book/10.1007/978-1-4471-0521-3","Book"
"Learning and Generalisation","Communications and Control Engineering","","","","10.1007/978-1-4471-3748-1","M. Vidyasagar PhD","2003","http://link.springer.com/book/10.1007/978-1-4471-3748-1","Book"
"Control Theory for Linear Systems","Communications and Control Engineering","","","","10.1007/978-1-4471-0339-4","Harry L. Trentelman PhDAnton A. Stoorvogel PhDMalo Hautus PhD","2001","http://link.springer.com/book/10.1007/978-1-4471-0339-4","Book"
"Control of Higher–Dimensional PDEs","Communications and Control Engineering","","","","10.1007/978-3-642-30015-8","Thomas Meurer","2013","http://link.springer.com/book/10.1007/978-3-642-30015-8","Book"
"Nonlinear Model Predictive Control","Communications and Control Engineering","","","","10.1007/978-0-85729-501-9","Lars GrüneJürgen Pannek","2011","http://link.springer.com/book/10.1007/978-0-85729-501-9","Book"
"Analysis and Design of Stream Ciphers","Communications and Control Engineering Series","","","","10.1007/978-3-642-82865-2","Dr. Rainer A. Rueppel","1986","http://link.springer.com/book/10.1007/978-3-642-82865-2","Book"
"Recursive Estimation and Time-Series Analysis","Communications and Control Engineering Series","","","","10.1007/978-3-642-82336-7","Peter Young","1984","http://link.springer.com/book/10.1007/978-3-642-82336-7","Book"
