Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Testing for Random Walk Coefficients in Regression and State Space Models","Contributions to Statistics","","","","10.1007/978-3-642-99799-0","Dr. Martin Moryson","1998","http://link.springer.com/book/10.1007/978-3-642-99799-0","Book"
"Data Structures for Computational Statistics","Contributions to Statistics","","","","10.1007/978-3-642-59242-3","Dr. Sigbert Klinke","1997","http://link.springer.com/book/10.1007/978-3-642-59242-3","Book"
"Complex Data Modeling and Computationally Intensive Statistical Methods","Contributions to Statistics","","","","10.1007/978-88-470-1386-5","Pietro MantovanPiercesare Secchi","2010","http://link.springer.com/book/10.1007/978-88-470-1386-5","Book"
"Statistical Methods for the Evaluation of University Systems","Contributions to Statistics","","","","10.1007/978-3-7908-2375-2","Massimo AttanasioVincenza Capursi","2011","http://link.springer.com/book/10.1007/978-3-7908-2375-2","Book"
"Price Indexes in Time and Space","Contributions to Statistics","","","","10.1007/978-3-7908-2140-6","Luigi BiggeriGuido Ferrari","2010","http://link.springer.com/book/10.1007/978-3-7908-2140-6","Book"
"Statistical Methods for Spatial Planning and Monitoring","Contributions to Statistics","","","","10.1007/978-88-470-2751-0","Silvestro MontronePaola Perchinunno","2013","http://link.springer.com/book/10.1007/978-88-470-2751-0","Book"
"Recent Advances in Functional Data Analysis and Related Topics","Contributions to Statistics","","","","10.1007/978-3-7908-2736-1","Frédéric Ferraty","2011","http://link.springer.com/book/10.1007/978-3-7908-2736-1","Book"
"Reduced Rank Regression","Contributions to Statistics","","","","10.1007/978-3-642-50015-2","Dr. Heinz Schmidli","1995","http://link.springer.com/book/10.1007/978-3-642-50015-2","Book"
"Statistical Modelling in Biostatistics and Bioinformatics","Contributions to Statistics","","","","10.1007/978-3-319-04579-5","Gilbert MacKenzieDefen Peng","2014","http://link.springer.com/book/10.1007/978-3-319-04579-5","Book"
"Micro- and Macrodata of Firms","Contributions to Statistics","","","","10.1007/978-3-642-48863-4","Prof. Dr. Silvia Biffignandi","1999","http://link.springer.com/book/10.1007/978-3-642-48863-4","Book"
"Household Behaviour, Equivalence Scales, Welfare and Poverty","Contributions to Statistics","","","","10.1007/978-3-7908-2681-4","Professor Camilo DagumProfessor Guido Ferrari","2004","http://link.springer.com/book/10.1007/978-3-7908-2681-4","Book"
"Asymptotic Statistics","Contributions to Statistics","","","","10.1007/978-3-642-57984-4","Professor Petr MandlProfessor Marie Hušková","1994","http://link.springer.com/book/10.1007/978-3-642-57984-4","Book"
"Computational Aspects of Model Choice","Contributions to Statistics","","","","10.1007/978-3-642-99766-2","Prof. Dr. Jaromír Antoch","1993","http://link.springer.com/book/10.1007/978-3-642-99766-2","Book"
"Foundations of Statistical Inference","Contributions to Statistics","","","","10.1007/978-3-642-57410-8","Professor Dr. Yoel HaitovskyProfessor Dr. Yaacov RitovProfessor Dr. Hans Rudolf Lerche","2003","http://link.springer.com/book/10.1007/978-3-642-57410-8","Book"
"A Mathematical Theory of Arguments for Statistical Evidence","Contributions to Statistics","","","","10.1007/978-3-642-51746-4","Paul-André Monney","2003","http://link.springer.com/book/10.1007/978-3-642-51746-4","Book"
"Industrial Statistics","Contributions to Statistics","","","","10.1007/978-3-642-59268-3","Professor Christos P. KitsosDr. Lutz Edler","1997","http://link.springer.com/book/10.1007/978-3-642-59268-3","Book"
"New Diagnostic, Therapeutic and Organizational Strategies for Acute Coronary Syndromes Patients","Contributions to Statistics","","","","10.1007/978-88-470-5379-3","Niccolò GriecoMaurizio MarzegalliAnna Maria Paganoni","2013","http://link.springer.com/book/10.1007/978-88-470-5379-3","Book"
"Health in Megacities and Urban Areas","Contributions to Statistics","","","","10.1007/978-3-7908-2733-0","Alexander KrämerMobarak Hossain KhanFrauke Kraas","2011","http://link.springer.com/book/10.1007/978-3-7908-2733-0","Book"
"mODa 9 – Advances in Model-Oriented Design and Analysis","Contributions to Statistics","","","","10.1007/978-3-7908-2410-0","Alessandra GiovagnoliAnthony C. AtkinsonBernard TorsneyCaterina May","2010","http://link.springer.com/book/10.1007/978-3-7908-2410-0","Book"
"Partially Linear Models","Contributions to Statistics","","","","10.1007/978-3-642-57700-0","Professor Dr. Wolfgang HärdleProfessor Dr. Hua LiangProfessor Dr. Jiti Gao","2000","http://link.springer.com/book/10.1007/978-3-642-57700-0","Book"
"Complex Models and Computational Methods in Statistics","Contributions to Statistics","","","","10.1007/978-88-470-2871-5","Matteo GrigolettoFrancesco LisiSonia Petrone","2013","http://link.springer.com/book/10.1007/978-88-470-2871-5","Book"
