Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Multiobjective Optimization","Decision Engineering","","","","10.1007/978-3-662-08883-8","PhD Yann ColletteProfessor Patrick Siarry","2004","http://link.springer.com/book/10.1007/978-3-662-08883-8","Book"
"Product Lifecycle Management","Decision Engineering","","","","10.1007/978-0-85729-546-0","John Stark","2011","http://link.springer.com/book/10.1007/978-0-85729-546-0","Book"
"Modular System Design and Evaluation","Decision Engineering","","","","10.1007/978-3-319-09876-0","Mark Sh. Levin","2015","http://link.springer.com/book/10.1007/978-3-319-09876-0","Book"
"Probabilistic Composition of Preferences, Theory and Applications","Decision Engineering","","","","10.1007/978-3-319-11277-0","Annibal Parracho Sant'Anna","2015","http://link.springer.com/book/10.1007/978-3-319-11277-0","Book"
"Global Product","Decision Engineering","","","","10.1007/978-1-84628-915-6","John Stark PhD","2007","http://link.springer.com/book/10.1007/978-1-84628-915-6","Book"
"Decision-Making for Supply Chain Integration","Decision Engineering","","","","10.1007/978-1-4471-4033-7","Hing Kai ChanFiona LetticeOlatunde Amoo Durowoju","2012","http://link.springer.com/book/10.1007/978-1-4471-4033-7","Book"
"Complex Strategic Choices","Decision Engineering","","","","10.1007/978-1-4471-2491-7","Steen Leleur","2012","http://link.springer.com/book/10.1007/978-1-4471-2491-7","Book"
"Through-life Engineering Services","Decision Engineering","","","","10.1007/978-3-319-12111-6","Louis ReddingRajkumar Roy","2015","http://link.springer.com/book/10.1007/978-3-319-12111-6","Book"
"Complex Engineering Service Systems","Decision Engineering","","","","10.1007/978-0-85729-189-9","Irene NgGlenn ParryPeter WildDuncan McFarlanePaul Tasker","2011","http://link.springer.com/book/10.1007/978-0-85729-189-9","Book"
"Decision Models in Engineering and Management","Decision Engineering","","","","10.1007/978-3-319-11949-6","Patricia Guarnieri","2015","http://link.springer.com/book/10.1007/978-3-319-11949-6","Book"
"Customer-Driven Supply Chains","Decision Engineering","","","","10.1007/978-1-84628-876-0","Andrew C. LyonsAdrian E. Coronado MondragonFrank PillerRaúl Poler","2012","http://link.springer.com/book/10.1007/978-1-84628-876-0","Book"
"Product Lifecycle Management","Decision Engineering","","","","10.1007/b138157","John Stark BSc, PhD","2005","http://link.springer.com/book/10.1007/b138157","Book"
"IPA-Concepts and Applications in Engineering","Decision Engineering","","","","10.1007/b97421","Jerzy Pokojski PhD","2004","http://link.springer.com/book/10.1007/b97421","Book"
"From Product Description to Cost: A Practical Approach","Decision Engineering","","","","10.1007/b137411","Pierre Foussier MBA","2006","http://link.springer.com/book/10.1007/b137411","Book"
"Strategic Decision Making","Decision Engineering","","","","10.1007/b97668","Dr. Rajkumar Roy","2004","http://link.springer.com/book/10.1007/b97668","Book"
"Introduction to Evolutionary Algorithms","Decision Engineering","","","","10.1007/978-1-84996-129-5","Xinjie YuMitsuo Gen","2010","http://link.springer.com/book/10.1007/978-1-84996-129-5","Book"
"Knowledge Acquisition in Practice","Decision Engineering","","","","10.1007/978-1-84628-861-6","N. R. Milton PhD, BSc, BA","2007","http://link.springer.com/book/10.1007/978-1-84628-861-6","Book"
"Data Mining","Decision Engineering","","","","10.1007/978-1-84996-338-1","Yong YinIkou KakuJiafu TangJianMing Zhu","2011","http://link.springer.com/book/10.1007/978-1-84996-338-1","Book"
"From Product Description to Cost: A Practical Approach","Decision Engineering","","","","10.1007/1-84628-335-3","Pierre Foussier MBA","2006","http://link.springer.com/book/10.1007/1-84628-335-3","Book"
"Intelligent Decision-making Support Systems","Decision Engineering","","","","10.1007/1-84628-231-4","Jatinder N. D. Gupta PhDGuisseppi A. Forgionne PhDManuel Mora T. EngD","2006","http://link.springer.com/book/10.1007/1-84628-231-4","Book"
"Enabling a Simulation Capability in the Organisation","Decision Engineering","","","","10.1007/978-1-84800-169-5","Andrew Greasley","2008","http://link.springer.com/book/10.1007/978-1-84800-169-5","Book"
"Decision-Making in Engineering Design","Decision Engineering","","","","10.1007/1-84628-261-6","Yotaro Hatamura","2006","http://link.springer.com/book/10.1007/1-84628-261-6","Book"
"Composite Systems Decisions","Decision Engineering","","","","10.1007/1-84628-080-X","Mark Sh. Levin PhD","2006","http://link.springer.com/book/10.1007/1-84628-080-X","Book"
"Management of Uncertainty","Decision Engineering","","","","10.1007/978-1-84882-373-0","Gudela Grote","2009","http://link.springer.com/book/10.1007/978-1-84882-373-0","Book"
"Network Models and Optimization","Decision Engineering","","","","10.1007/978-1-84800-181-7","Mitsuo GenRunwei ChengLin Lin","2008","http://link.springer.com/book/10.1007/978-1-84800-181-7","Book"
