Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Banach Algebras and Several Complex Variables","Graduate Texts in Mathematics","","","","10.1007/978-1-4757-3878-0","John Wermer","1976","http://link.springer.com/book/10.1007/978-1-4757-3878-0","Book"
"Numerical Analysis","Graduate Texts in Mathematics","","","","10.1007/978-1-4612-0599-9","Rainer Kress","1998","http://link.springer.com/book/10.1007/978-1-4612-0599-9","Book"
"Geometric Functional Analysis and its Applications","Graduate Texts in Mathematics","","","","10.1007/978-1-4684-9369-6","Richard B. Holmes","1975","http://link.springer.com/book/10.1007/978-1-4684-9369-6","Book"
"Introduction to Operator Theory I","Graduate Texts in Mathematics","","","","10.1007/978-1-4612-9926-4","Arlen BrownCarl Pearcy","1977","http://link.springer.com/book/10.1007/978-1-4612-9926-4","Book"
"Complex Analysis","Graduate Texts in Mathematics","","","","10.1007/978-1-4757-1871-3","Serge Lang","1985","http://link.springer.com/book/10.1007/978-1-4757-1871-3","Book"
"A Course in Number Theory and Cryptography","Graduate Texts in Mathematics","","","","10.1007/978-1-4684-0310-7","Neal Koblitz","1987","http://link.springer.com/book/10.1007/978-1-4684-0310-7","Book"
"Measure Theory","Graduate Texts in Mathematics","","","","10.1007/978-1-4612-0877-8","J. L. Doob","1994","http://link.springer.com/book/10.1007/978-1-4612-0877-8","Book"
"Modern Geometry — Methods and Applications","Graduate Texts in Mathematics","","","","10.1007/978-1-4684-9946-9","B. A. DubrovinA. T. FomenkoS. P. Novikov","1984","http://link.springer.com/book/10.1007/978-1-4684-9946-9","Book"
"Introduction to Elliptic Curves and Modular Forms","Graduate Texts in Mathematics","","","","10.1007/978-1-4612-0909-6","Neal Koblitz","1993","http://link.springer.com/book/10.1007/978-1-4612-0909-6","Book"
"A Course in Mathematical Logic","Graduate Texts in Mathematics","","","","10.1007/978-1-4757-4385-2","Yu. I. Manin","1977","http://link.springer.com/book/10.1007/978-1-4757-4385-2","Book"
"Algebra","Graduate Texts in Mathematics","","","","10.1007/978-1-4612-0923-2","William A. AdkinsSteven H. Weintraub","1992","http://link.springer.com/book/10.1007/978-1-4612-0923-2","Book"
"Classical Topology and Combinatorial Group Theory","Graduate Texts in Mathematics","","","","10.1007/978-1-4684-0110-3","Dr. John Stillwell","1980","http://link.springer.com/book/10.1007/978-1-4684-0110-3","Book"
"Introduction to Smooth Manifolds","Graduate Texts in Mathematics","","","","10.1007/978-0-387-21752-9","John M. Lee","2003","http://link.springer.com/book/10.1007/978-0-387-21752-9","Book"
"Field Theory","Graduate Texts in Mathematics","","","","10.1007/978-1-4612-2516-4","Steven Roman","1995","http://link.springer.com/book/10.1007/978-1-4612-2516-4","Book"
"An Introduction to Knot Theory","Graduate Texts in Mathematics","","","","10.1007/978-1-4612-0691-0","W. B. Raymond Lickorish","1997","http://link.springer.com/book/10.1007/978-1-4612-0691-0","Book"
"A Hilbert Space Problem Book","Graduate Texts in Mathematics","","","","10.1007/978-1-4615-9976-0","P. R. Halmos","1974","http://link.springer.com/book/10.1007/978-1-4615-9976-0","Book"
"Riemannian Manifolds","Graduate Texts in Mathematics","","","","10.1007/b98852","John M. Lee","1997","http://link.springer.com/book/10.1007/b98852","Book"
"Axiomatic Set Theory","Graduate Texts in Mathematics","","","","10.1007/978-1-4684-8751-0","Gaisi TakeutiWilson M. Zaring","1973","http://link.springer.com/book/10.1007/978-1-4684-8751-0","Book"
"Matrix Analysis","Graduate Texts in Mathematics","","","","10.1007/978-1-4612-0653-8","Rajendra Bhatia","1997","http://link.springer.com/book/10.1007/978-1-4612-0653-8","Book"
"Introduction to Smooth Manifolds","Graduate Texts in Mathematics","","","","10.1007/978-1-4419-9982-5","John M. Lee","2012","http://link.springer.com/book/10.1007/978-1-4419-9982-5","Book"
"A Course on Borel Sets","Graduate Texts in Mathematics","","","","10.1007/978-3-642-85473-6","S. M. Srivastava","1998","http://link.springer.com/book/10.1007/978-3-642-85473-6","Book"
"A Course in the Theory of Groups","Graduate Texts in Mathematics","","","","10.1007/978-1-4684-0128-8","Derek J. S. Robinson","1993","http://link.springer.com/book/10.1007/978-1-4684-0128-8","Book"
"Algebraic Theories","Graduate Texts in Mathematics","","","","10.1007/978-1-4612-9860-1","Ernest G. Manes","1976","http://link.springer.com/book/10.1007/978-1-4612-9860-1","Book"
"Fourier Analysis on Number Fields","Graduate Texts in Mathematics","","","","10.1007/978-1-4757-3085-2","Dinakar RamakrishnanRobert J. Valenza","1999","http://link.springer.com/book/10.1007/978-1-4757-3085-2","Book"
"Lie Groups","Graduate Texts in Mathematics","","","","10.1007/978-1-4757-4094-3","Daniel Bump","2004","http://link.springer.com/book/10.1007/978-1-4757-4094-3","Book"
"A Course in Commutative Algebra","Graduate Texts in Mathematics","","","","10.1007/978-3-642-03545-6","Gregor Kemper","2011","http://link.springer.com/book/10.1007/978-3-642-03545-6","Book"
"A Course in Homological Algebra","Graduate Texts in Mathematics","","","","10.1007/978-1-4684-9936-0","P. J. HiltonU. Stammbach","1971","http://link.springer.com/book/10.1007/978-1-4684-9936-0","Book"
"Introduction to Topological Manifolds","Graduate Texts in Mathematics","","","","10.1007/978-1-4419-7940-7","John M. Lee","2011","http://link.springer.com/book/10.1007/978-1-4419-7940-7","Book"
"A First Course in Noncommutative Rings","Graduate Texts in Mathematics","","","","10.1007/978-1-4684-0406-7","T. Y. Lam","1991","http://link.springer.com/book/10.1007/978-1-4684-0406-7","Book"
"An Introduction to the Theory of Groups","Graduate Texts in Mathematics","","","","10.1007/978-1-4612-4176-8","Joseph J. Rotman","1995","http://link.springer.com/book/10.1007/978-1-4612-4176-8","Book"
"Fundamentals of Differential Geometry","Graduate Texts in Mathematics","","","","10.1007/978-1-4612-0541-8","Serge Lang","1999","http://link.springer.com/book/10.1007/978-1-4612-0541-8","Book"
"Classical Descriptive Set Theory","Graduate Texts in Mathematics","","","","10.1007/978-1-4612-4190-4","Alexander S. Kechris","1995","http://link.springer.com/book/10.1007/978-1-4612-4190-4","Book"
"Probability Theory I","Graduate Texts in Mathematics","","","","10.1007/978-1-4757-6288-4","M. Loève","1977","http://link.springer.com/book/10.1007/978-1-4757-6288-4","Book"
"Harmonic Analysis on Semigroups","Graduate Texts in Mathematics","","","","10.1007/978-1-4612-1128-0","Christian BergJens Peter Reus ChristensenPaul Ressel","1984","http://link.springer.com/book/10.1007/978-1-4612-1128-0","Book"
"Cyclotomic Fields I and II","Graduate Texts in Mathematics","","","","10.1007/978-1-4612-0987-4","Serge Lang","1990","http://link.springer.com/book/10.1007/978-1-4612-0987-4","Book"
"Denumerable Markov Chains","Graduate Texts in Mathematics","","","","10.1007/978-1-4684-9455-6","John G. KemenyJ. Laurie SnellAnthony W. Knapp","1976","http://link.springer.com/book/10.1007/978-1-4684-9455-6","Book"
"Cyclotomic Fields","Graduate Texts in Mathematics","","","","10.1007/978-1-4612-9945-5","Dr. Serge Lang","1978","http://link.springer.com/book/10.1007/978-1-4612-9945-5","Book"
"Basic Theory of Algebraic Groups and Lie Algebras","Graduate Texts in Mathematics","","","","10.1007/978-1-4613-8114-3","Gerhard P. Hochschild","1981","http://link.springer.com/book/10.1007/978-1-4613-8114-3","Book"
"Cyclotomic Fields II","Graduate Texts in Mathematics","","","","10.1007/978-1-4684-0086-1","Serge Lang","1980","http://link.springer.com/book/10.1007/978-1-4684-0086-1","Book"
