Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Handbook on Ontologies","International Handbooks on Information Systems","","","","10.1007/978-3-540-24750-0","PD Dr. Steffen StaabProfessor Dr. Rudi Studer","2004","http://link.springer.com/book/10.1007/978-3-540-24750-0","Book"
"Handbook on Business Process Management 2","International Handbooks on Information Systems","","","","10.1007/978-3-642-01982-1","Jan vom BrockeMichael Rosemann","2010","http://link.springer.com/book/10.1007/978-3-642-01982-1","Book"
"Supply Chain Coordination under Uncertainty","International Handbooks on Information Systems","","","","10.1007/978-3-642-19257-9","Tsan-Ming ChoiT.C. Edwin Cheng","2011","http://link.springer.com/book/10.1007/978-3-642-19257-9","Book"
"Handbook on Ontologies","International Handbooks on Information Systems","","","","10.1007/978-3-540-92673-3","Steffen StaabRudi Studer","2009","http://link.springer.com/book/10.1007/978-3-540-92673-3","Book"
"Innovative Quick Response Programs in Logistics and Supply Chain Management","International Handbooks on Information Systems","","","","10.1007/978-3-642-04313-0","T. C. Edwin ChengTsan-Ming Choi","2010","http://link.springer.com/book/10.1007/978-3-642-04313-0","Book"
"Handbook on Knowledge Management","International Handbooks on Information Systems","","","","10.1007/978-3-540-24748-7","Professor Clyde W. Holsapple","2003","http://link.springer.com/book/10.1007/978-3-540-24748-7","Book"
"Handbook on Business Process Management 1","International Handbooks on Information Systems","","","","10.1007/978-3-642-00416-2","Prof. Dr. Jan vom BrockeProf. Dr. Michael Rosemann","2010","http://link.springer.com/book/10.1007/978-3-642-00416-2","Book"
"Handbook on Knowledge Management 1","International Handbooks on Information Systems","","","","10.1007/978-3-540-24746-3","Professor Clyde W. Holsapple","2004","http://link.springer.com/book/10.1007/978-3-540-24746-3","Book"
"Handbook on Project Management and Scheduling Vol.1","International Handbooks on Information Systems","","","","10.1007/978-3-319-05443-8","Christoph SchwindtJürgen Zimmermann","2015","http://link.springer.com/book/10.1007/978-3-319-05443-8","Book"
"Handbook on Business Process Management 2","International Handbooks on Information Systems","","","","10.1007/978-3-642-45103-4","Jan vom BrockeMichael Rosemann","2015","http://link.springer.com/book/10.1007/978-3-642-45103-4","Book"
"Handbook on Enterprise Architecture","International Handbooks on Information Systems","","","","10.1007/978-3-540-24744-9","Associate Professor Dr. Peter BernusDr. Laszlo NemesProfessor Dr. Günter Schmidt","2003","http://link.springer.com/book/10.1007/978-3-540-24744-9","Book"
"Handbook on Data Management in Information Systems","International Handbooks on Information Systems","","","","10.1007/978-3-540-24742-5","Professor Jacek BłażewiczProfessor Wieslaw KubiakProfessor Tadeusz MorzyProfessor Marek Rusinkiewicz","2003","http://link.springer.com/book/10.1007/978-3-540-24742-5","Book"
"Handbook on Information Technologies for Education and Training","International Handbooks on Information Systems","","","","10.1007/978-3-662-07682-8","Prof. Dr. Heimo H. AdelsbergerProf. Dr. Betty CollisDipl. Wirt. Inform. Jan M. Pawlowski","2002","http://link.springer.com/book/10.1007/978-3-662-07682-8","Book"
"Handbook on Electronic Commerce","International Handbooks on Information Systems","","","","10.1007/978-3-642-58327-8","Professor Michael ShawProfessor Robert BlanningAssistant Professor Troy StraderProfessor Andrew Whinston","2000","http://link.springer.com/book/10.1007/978-3-642-58327-8","Book"
"Handbook on Parallel and Distributed Processing","International Handbooks on Information Systems","","","","10.1007/978-3-662-04303-5","Prof. Dr. Jacek BłażewiczProf. Klaus EckerProf. Brigitte PlateauProf. Denis Trystram","2000","http://link.springer.com/book/10.1007/978-3-662-04303-5","Book"
"Handbook on Architectures of Information Systems","International Handbooks on Information Systems","","","","10.1007/978-3-662-03526-9","Dr. Peter BernusProf. Dr. Kai MertinsProf. Dr. Günter Schmidt","1998","http://link.springer.com/book/10.1007/978-3-662-03526-9","Book"
"Handbook on Project Management and Scheduling Vol. 2","International Handbooks on Information Systems","","","","10.1007/978-3-319-05915-0","Christoph SchwindtJürgen Zimmermann","2015","http://link.springer.com/book/10.1007/978-3-319-05915-0","Book"
"Handbook on Business Process Management 1","International Handbooks on Information Systems","","","","10.1007/978-3-642-45100-3","Jan vom BrockeMichael Rosemann","2015","http://link.springer.com/book/10.1007/978-3-642-45100-3","Book"
"Handbook on Scheduling","International Handbook on Information Systems","","","","10.1007/978-3-540-32220-7","Professor Dr. Jacek BłażewiczProfessor Dr. Klaus H. EckerProfessor Dr. Erwin PeschProfessor Dr. Günter SchmidtProfessor Dr. Jan Węglarz","2007","http://link.springer.com/book/10.1007/978-3-540-32220-7","Book"
"Formal Modelling in Electronic Commerce","International Handbooks on Information Systems","","","","10.1007/b138422","Professor Steven O. KimbroughProfessor D.J. Wu","2005","http://link.springer.com/book/10.1007/b138422","Book"
"Handbook on Architectures of Information Systems","International Handbooks on Information Systems","","","","10.1007/b137905","Assoc. Professor Dr. Peter BernusProfessor Dr. Kai MertinsProfessor Dr. Günter Schmidt","2006","http://link.springer.com/book/10.1007/b137905","Book"
"Handbook on Decision Support Systems 1","International Handbooks Information System","","","","10.1007/978-3-540-48713-5","Frada BursteinClyde W. Holsapple","2008","http://link.springer.com/book/10.1007/978-3-540-48713-5","Book"
"Multiagent Engineering","International Handbooks on Information Systems","","","","10.1007/3-540-32062-8","Professor Dr. Stefan KirnProfessor Dr. Otthein HerzogProfessor Dr. Peter LockemannProfessor Dr. Otto Spaniol","2006","http://link.springer.com/book/10.1007/3-540-32062-8","Book"
"Handbook on Information Technology in Finance","International Handbooks Information System","","","","10.1007/978-3-540-49487-4","Detlef SeeseChristof WeinhardtFrank Schlottmann","2008","http://link.springer.com/book/10.1007/978-3-540-49487-4","Book"
"Handbook on Decision Support Systems 2","International Handbooks Information System","","","","10.1007/978-3-540-48716-6","Frada BursteinClyde W. Holsapple","2008","http://link.springer.com/book/10.1007/978-3-540-48716-6","Book"
"Handbook on Information Technologies for Education and Training","International Handbooks on Information Systems","","","","10.1007/978-3-540-74155-8","Prof. Dr. Heimo H. AdelsbergerProf. KinshukProf. Dr. Jan M. PawlowskiProf. Demetrios G. Sampson","2008","http://link.springer.com/book/10.1007/978-3-540-74155-8","Book"
