Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Handbook of Global Logistics","International Series in Operations Research & Management Science","","","","10.1007/978-1-4419-6132-7","James H. Bookbinder","2013","http://link.springer.com/book/10.1007/978-1-4419-6132-7","Book"
"Supply Chain Structures","International Series in Operations Research & Management Science","","","","10.1007/978-1-4757-6635-6","Jing-Sheng SongDavid D. Yao","2002","http://link.springer.com/book/10.1007/978-1-4757-6635-6","Book"
"Computational Probability","International Series in Operations Research & Management Science","","","","10.1007/978-1-4757-4828-4","Winfried K. Grassmann","2000","http://link.springer.com/book/10.1007/978-1-4757-4828-4","Book"
"Quantitative Models for Supply Chain Management","International Series in Operations Research & Management Science","","","","10.1007/978-1-4615-4949-9","Sridhar TayurRam GaneshanMichael Magazine","1999","http://link.springer.com/book/10.1007/978-1-4615-4949-9","Book"
"Constraint-Based Scheduling","International Series in Operations Research & Management Science","","","","10.1007/978-1-4615-1479-4","Philippe BaptisteClaude Le PapeWim Nuijten","2001","http://link.springer.com/book/10.1007/978-1-4615-1479-4","Book"
"Designing Competitive Electricity Markets","International Series in Operations Research & Management Science","","","","10.1007/978-1-4615-5547-6","Hung-po ChaoHillard G. Huntington","1998","http://link.springer.com/book/10.1007/978-1-4615-5547-6","Book"
"Handbook on Semidefinite, Conic and Polynomial Optimization","International Series in Operations Research & Management Science","","","","10.1007/978-1-4614-0769-0","Miguel F. AnjosJean B. Lasserre","2012","http://link.springer.com/book/10.1007/978-1-4614-0769-0","Book"
"Handbook of EOQ Inventory Problems","International Series in Operations Research & Management Science","","","","10.1007/978-1-4614-7639-9","Tsan-Ming Choi","2014","http://link.springer.com/book/10.1007/978-1-4614-7639-9","Book"
"Handbook of Transportation Science","International Series in Operations Research & Management Science","","","","10.1007/978-1-4615-5203-1","Randolph W. Hall","1999","http://link.springer.com/book/10.1007/978-1-4615-5203-1","Book"
"Product Variety Management","International Series in Operations Research & Management Science","","","","10.1007/978-1-4615-5579-7","Teck-Hua HoChristopher S. Tang","1998","http://link.springer.com/book/10.1007/978-1-4615-5579-7","Book"
"Risk Analysis Foundations, Models, and Methods","International Series in Operations Research & Management Science","","","","10.1007/978-1-4615-0847-2","Louis Anthony Cox Jr.","2002","http://link.springer.com/book/10.1007/978-1-4615-0847-2","Book"
"Public Policy Analysis","International Series in Operations Research & Management Science","","","","10.1007/978-1-4614-4602-6","Wil A. H. ThissenWarren E. Walker","2013","http://link.springer.com/book/10.1007/978-1-4614-4602-6","Book"
"Quantitative Models for Performance Evaluation and Benchmarking","International Series in Operations Research & Management Science","","","","10.1007/978-1-4757-4246-6","Joe Zhu","2003","http://link.springer.com/book/10.1007/978-1-4757-4246-6","Book"
"Dynamic Optimization and Differential Games","International Series in Operations Research & Management Science","","","","10.1007/978-0-387-72778-3","Terry L. Friesz","2010","http://link.springer.com/book/10.1007/978-0-387-72778-3","Book"
"Game Theory and Business Applications","International Series in Operations Research & Management Science","","","","10.1007/978-1-4614-7095-3","Kalyan ChatterjeeWilliam Samuelson","2014","http://link.springer.com/book/10.1007/978-1-4614-7095-3","Book"
"Mathematical Programming and Financial Objectives for Scheduling Projects","International Series in Operations Research & Management Science","","","","10.1007/978-1-4615-1453-4","PD Dr. Alf Kimms","2001","http://link.springer.com/book/10.1007/978-1-4615-1453-4","Book"
"Logic and Integer Programming","International Series in Operations Research & Management Science","","","","10.1007/978-0-387-92280-5","H. Paul Williams","2009","http://link.springer.com/book/10.1007/978-0-387-92280-5","Book"
"Flow Shop Scheduling","International Series in Operations Research & Management Science","","","","10.1007/978-1-4614-5152-5","Hamilton EmmonsGeorge Vairaktarakis","2013","http://link.springer.com/book/10.1007/978-1-4614-5152-5","Book"
"Energy Decisions and the Environment","International Series in Operations Research & Management Science","","","","10.1007/978-1-4615-4477-7","Benjamin F. HobbsPeter Meier","2000","http://link.springer.com/book/10.1007/978-1-4615-4477-7","Book"
"Advanced Decision Making Methods Applied to Health Care","International Series in Operations Research & Management Science","","","","10.1007/978-88-470-2321-5","Elena TànfaniAngela Testi","2012","http://link.springer.com/book/10.1007/978-88-470-2321-5","Book"
"Optimization for Decision Making","International Series in Operations Research & Management Science","","","","10.1007/978-1-4419-1291-6","Katta G. Murty","2010","http://link.springer.com/book/10.1007/978-1-4419-1291-6","Book"
"Handbook of OR/MS Models in Hazardous Materials Transportation","International Series in Operations Research & Management Science","","","","10.1007/978-1-4614-6794-6","Rajan BattaChanghyun Kwon","2013","http://link.springer.com/book/10.1007/978-1-4614-6794-6","Book"
"Supply Chain Engineering","International Series in Operations Research & Management Science","","","","10.1007/978-1-4419-6512-7","Marc Goetschalckx","2011","http://link.springer.com/book/10.1007/978-1-4419-6512-7","Book"
"Intelligent Strategies for Meta Multiple Criteria Decision Making","International Series in Operations Research & Management Science","","","","10.1007/978-1-4615-1595-1","Thomas Hanne","2001","http://link.springer.com/book/10.1007/978-1-4615-1595-1","Book"
"Linear Programming and Generalizations","International Series in Operations Research & Management Science","","","","10.1007/978-1-4419-6491-5","Eric V. Denardo","2011","http://link.springer.com/book/10.1007/978-1-4419-6491-5","Book"
"Perishable Inventory Systems","International Series in Operations Research & Management Science","","","","10.1007/978-1-4419-7999-5","Steven Nahmias","2011","http://link.springer.com/book/10.1007/978-1-4419-7999-5","Book"
