Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Large Random Matrices: Lectures on Macroscopic Asymptotics","Lecture Notes in Mathematics","","","","10.1007/978-3-540-69897-5","Alice Guionnet","2009","http://link.springer.com/book/10.1007/978-3-540-69897-5","Book"
"Stable Homotopy Theory","Lecture Notes in Mathematics","","","","10.1007/978-3-662-15905-7","J. Frank Adams","1966","http://link.springer.com/book/10.1007/978-3-662-15905-7","Book"
"Lie Algebras and Lie Groups","Lecture Notes in Mathematics","","","","10.1007/978-3-540-70634-2","Jean-Pierre Serre","1992","http://link.springer.com/book/10.1007/978-3-540-70634-2","Book"
"Spectral Analysis on Graph-like Spaces","Lecture Notes in Mathematics","","","","10.1007/978-3-642-23840-6","Olaf Post","2012","http://link.springer.com/book/10.1007/978-3-642-23840-6","Book"
"Lectures on Seiberg-Witten Invariants","Lecture Notes in Mathematics","","","","10.1007/978-3-540-40952-6","John Douglas Moore","2001","http://link.springer.com/book/10.1007/978-3-540-40952-6","Book"
"Proper Forcing","Lecture Notes in Mathematics","","","","10.1007/978-3-662-21543-2","Saharon Shelah","1982","http://link.springer.com/book/10.1007/978-3-662-21543-2","Book"
"Einführung in die Analytische Zahlentheorie","Lecture Notes in Mathematics","","","","10.1007/BFb0082655","K. Chandrasekharan","1966","http://link.springer.com/book/10.1007/BFb0082655","Book"
"Mathematical Modeling in Biomedical Imaging I","Lecture Notes in Mathematics","","","","10.1007/978-3-642-03444-2","Habib Ammari","2009","http://link.springer.com/book/10.1007/978-3-642-03444-2","Book"
"Lectures on Choquet’s Theorem","Lecture Notes in Mathematics","","","","10.1007/b76887","Robert R. Phelps","2001","http://link.springer.com/book/10.1007/b76887","Book"
"Eigenvalues, Embeddings and Generalised Trigonometric Functions","Lecture Notes in Mathematics","","","","10.1007/978-3-642-18429-1","Jan LangDavid Edmunds","2011","http://link.springer.com/book/10.1007/978-3-642-18429-1","Book"
"Complex Analysis","Lecture Notes in Mathematics","","","","10.1007/BFb0061874","James Eells","1982","http://link.springer.com/book/10.1007/BFb0061874","Book"
"Nonabelian Jacobian of Projective Surfaces","Lecture Notes in Mathematics","","","","10.1007/978-3-642-35662-9","Igor Reider","2013","http://link.springer.com/book/10.1007/978-3-642-35662-9","Book"
"Algebraic Topology of Finite Topological Spaces and Applications","Lecture Notes in Mathematics","","","","10.1007/978-3-642-22003-6","Jonathan A. Barmak","2011","http://link.springer.com/book/10.1007/978-3-642-22003-6","Book"
"Spectral Theory of Non-Commutative Harmonic Oscillators: An Introduction","Lecture Notes in Mathematics","","","","10.1007/978-3-642-11922-4","Alberto Parmeggiani","2010","http://link.springer.com/book/10.1007/978-3-642-11922-4","Book"
"Oracle Inequalities in Empirical Risk Minimization and Sparse Recovery Problems","Lecture Notes in Mathematics","","","","10.1007/978-3-642-22147-7","Vladimir Koltchinskii","2011","http://link.springer.com/book/10.1007/978-3-642-22147-7","Book"
"From Objects to Diagrams for Ranges of Functors","Lecture Notes in Mathematics","","","","10.1007/978-3-642-21774-6","Pierre GillibertFriedrich Wehrung","2011","http://link.springer.com/book/10.1007/978-3-642-21774-6","Book"
"Extinction and Quasi-Stationarity in the Stochastic Logistic SIS Model","Lecture Notes in Mathematics","","","","10.1007/978-3-642-20530-9","Ingemar Nåsell","2011","http://link.springer.com/book/10.1007/978-3-642-20530-9","Book"
"Analytic and Geometric Study of Stratified Spaces","Lecture Notes in Mathematics","","","","10.1007/3-540-45436-5","Markus J. Pflaum","2001","http://link.springer.com/book/10.1007/3-540-45436-5","Book"
"Complex Monge–Ampère Equations and Geodesics in the Space of Kähler Metrics","Lecture Notes in Mathematics","","","","10.1007/978-3-642-23669-3","Vincent Guedj","2012","http://link.springer.com/book/10.1007/978-3-642-23669-3","Book"
"Modular Functions of One Variable I","Lecture Notes in Mathematics","","","","10.1007/978-3-540-38509-7","Willem Kuijk","1973","http://link.springer.com/book/10.1007/978-3-540-38509-7","Book"
"Eine Termlogik mit Auswahloperator","Lecture Notes in Mathematics","","","","10.1007/978-3-540-36203-6","Hans Hermes","1965","http://link.springer.com/book/10.1007/978-3-540-36203-6","Book"
"Coulomb Frames in the Normal Bundle of Surfaces in Euclidean Spaces","Lecture Notes in Mathematics","","","","10.1007/978-3-642-29846-2","Steffen Fröhlich","2012","http://link.springer.com/book/10.1007/978-3-642-29846-2","Book"
"Partial Inner Product Spaces","Lecture Notes in Mathematics","","","","10.1007/978-3-642-05136-4","Jean-Pierre AntoineCamillo Trapani","2009","http://link.springer.com/book/10.1007/978-3-642-05136-4","Book"
"Spherical Tube Hypersurfaces","Lecture Notes in Mathematics","","","","10.1007/978-3-642-19783-3","Alexander Isaev","2011","http://link.springer.com/book/10.1007/978-3-642-19783-3","Book"
"Asymptotic Theory of Finite Dimensional Normed Spaces","Lecture Notes in Mathematics","","","","10.1007/978-3-540-38822-7","Vitali D. MilmanGideon Schechtman","1986","http://link.springer.com/book/10.1007/978-3-540-38822-7","Book"
"Donaldson Type Invariants for Algebraic Surfaces","Lecture Notes in Mathematics","","","","10.1007/978-3-540-93913-9","Takuro Mochizuki","2009","http://link.springer.com/book/10.1007/978-3-540-93913-9","Book"
"Markov Paths, Loops and Fields","Lecture Notes in Mathematics","","","","10.1007/978-3-642-21216-1","Yves Le Jan","2011","http://link.springer.com/book/10.1007/978-3-642-21216-1","Book"
"Biset Functors for Finite Groups","Lecture Notes in Mathematics","","","","10.1007/978-3-642-11297-3","Serge Bouc","2010","http://link.springer.com/book/10.1007/978-3-642-11297-3","Book"
"Boundary Value Problems and Markov Processes","Lecture Notes in Mathematics","","","","10.1007/978-3-642-01677-6","Kazuaki Taira","2009","http://link.springer.com/book/10.1007/978-3-642-01677-6","Book"
"The Use of Ultraproducts in Commutative Algebra","Lecture Notes in Mathematics","","","","10.1007/978-3-642-13368-8","Hans Schoutens","2010","http://link.springer.com/book/10.1007/978-3-642-13368-8","Book"
"Intersections of Hirzebruch–Zagier Divisors and CM Cycles","Lecture Notes in Mathematics","","","","10.1007/978-3-642-23979-3","Benjamin HowardTonghai Yang","2012","http://link.springer.com/book/10.1007/978-3-642-23979-3","Book"
"Topological Complexity of Smooth Random Functions","Lecture Notes in Mathematics","","","","10.1007/978-3-642-19580-8","Robert J. AdlerJonathan E. Taylor","2011","http://link.springer.com/book/10.1007/978-3-642-19580-8","Book"
"Integrable Systems in the realm of Algebraic Geometry","Lecture Notes in Mathematics","","","","10.1007/978-3-662-21535-7","Pol Vanhaecke","1996","http://link.springer.com/book/10.1007/978-3-662-21535-7","Book"
"Coding Theory","Lecture Notes in Mathematics","","","","10.1007/978-3-540-36657-7","Jacobus H. van Lint","1973","http://link.springer.com/book/10.1007/978-3-540-36657-7","Book"
"Continuous Bounded Cohomology of Locally Compact Groups","Lecture Notes in Mathematics","","","","10.1007/b80626","Nicolas Monod","2001","http://link.springer.com/book/10.1007/b80626","Book"
"The Ricci Flow in Riemannian Geometry","Lecture Notes in Mathematics","","","","10.1007/978-3-642-16286-2","Ben AndrewsChristopher Hopper","2011","http://link.springer.com/book/10.1007/978-3-642-16286-2","Book"
"Stochastic Geometry, Spatial Statistics and Random Fields","Lecture Notes in Mathematics","","","","10.1007/978-3-642-33305-7","Evgeny Spodarev","2013","http://link.springer.com/book/10.1007/978-3-642-33305-7","Book"
"Büchi’s Monadic Second Order Successor Arithmetic","Lecture Notes in Mathematics","","","","10.1007/978-3-662-36678-3","Dirk Siefkes","1970","http://link.springer.com/book/10.1007/978-3-662-36678-3","Book"
"Convex Functions, Monotone Operators and Differentiability","Lecture Notes in Mathematics","","","","10.1007/978-3-540-46077-0","Robert R. Phelps","1993","http://link.springer.com/book/10.1007/978-3-540-46077-0","Book"
"The Red Book of Varieties and Schemes","Lecture Notes in Mathematics","","","","10.1007/978-3-662-21581-4","David Mumford","1988","http://link.springer.com/book/10.1007/978-3-662-21581-4","Book"
"Holomorphic Q Classes","Lecture Notes in Mathematics","","","","10.1007/b87877","Jie Xiao","2001","http://link.springer.com/book/10.1007/b87877","Book"
"Layer-Adapted Meshes for Reaction-Convection-Diffusion Problems","Lecture Notes in Mathematics","","","","10.1007/978-3-642-05134-0","Torsten Linß","2010","http://link.springer.com/book/10.1007/978-3-642-05134-0","Book"
"Korteweg-de Vries and Nonlinear Schrödinger Equations: Qualitative Theory","Lecture Notes in Mathematics","","","","10.1007/3-540-45276-1","Peter E. Zhidkov","2001","http://link.springer.com/book/10.1007/3-540-45276-1","Book"
"Controllability of Partial Differential Equations Governed by Multiplicative Controls","Lecture Notes in Mathematics","","","","10.1007/978-3-642-12413-6","Alexander Y. Khapalov","2010","http://link.springer.com/book/10.1007/978-3-642-12413-6","Book"
"Buildings of Spherical Type and Finite BN-Pairs","Lecture Notes in Mathematics","","","","10.1007/978-3-540-38349-9","Jacques Tits","1974","http://link.springer.com/book/10.1007/978-3-540-38349-9","Book"
"Iterative Methods for Fixed Point Problems in Hilbert Spaces","Lecture Notes in Mathematics","","","","10.1007/978-3-642-30901-4","Andrzej Cegielski","2013","http://link.springer.com/book/10.1007/978-3-642-30901-4","Book"
"Geometric Description of Images as Topographic Maps","Lecture Notes in Mathematics","","","","10.1007/978-3-642-04611-7","Vicent CasellesPascal Monasse","2010","http://link.springer.com/book/10.1007/978-3-642-04611-7","Book"
"Intersection Spaces, Spatial Homology Truncation, and String Theory","Lecture Notes in Mathematics","","","","10.1007/978-3-642-12589-8","Markus Banagl","2010","http://link.springer.com/book/10.1007/978-3-642-12589-8","Book"
"Model Theory and Algebraic Geometry","Lecture Notes in Mathematics","","","","10.1007/978-3-540-68521-0","Elisabeth Bouscaren","1998","http://link.springer.com/book/10.1007/978-3-540-68521-0","Book"
"Numerical Analysis and Parallel Processing","Lecture Notes in Mathematics","","","","10.1007/978-3-662-39812-8","Peter R. Turner","1989","http://link.springer.com/book/10.1007/978-3-662-39812-8","Book"
"Limit Theorems for Markov Chains and Stochastic Properties of Dynamical Systems by Quasi-Compactness","Lecture Notes in Mathematics","","","","10.1007/b87874","Hubert HennionLoïc Hervé","2001","http://link.springer.com/book/10.1007/b87874","Book"
"Computational Approach to Riemann Surfaces","Lecture Notes in Mathematics","","","","10.1007/978-3-642-17413-1","Alexander I. BobenkoChristian Klein","2011","http://link.springer.com/book/10.1007/978-3-642-17413-1","Book"
"Substitution Dynamical Systems - Spectral Analysis","Lecture Notes in Mathematics","","","","10.1007/978-3-642-11212-6","Martine Queffélec","2010","http://link.springer.com/book/10.1007/978-3-642-11212-6","Book"
"q
          -Fractional Calculus and Equations","Lecture Notes in Mathematics","","","","10.1007/978-3-642-30898-7","Mahmoud H. AnnabyZeinab S. Mansour","2012","http://link.springer.com/book/10.1007/978-3-642-30898-7","Book"
"Grothendieck Duality and Base Change","Lecture Notes in Mathematics","","","","10.1007/b75857","Brian Conrad","2000","http://link.springer.com/book/10.1007/b75857","Book"
"Differential Geometry in the Large","Lecture Notes in Mathematics","","","","10.1007/3-540-39482-6","Heinz Hopf","1989","http://link.springer.com/book/10.1007/3-540-39482-6","Book"
"Cyclic Coverings, Calabi-Yau Manifolds and Complex Multiplication","Lecture Notes in Mathematics","","","","10.1007/978-3-642-00639-5","Christian Rohde","2009","http://link.springer.com/book/10.1007/978-3-642-00639-5","Book"
"Degenerate Nonlinear Diffusion Equations","Lecture Notes in Mathematics","","","","10.1007/978-3-642-28285-0","Angelo FaviniGabriela Marinoschi","2012","http://link.springer.com/book/10.1007/978-3-642-28285-0","Book"
"Endoscopy for GSp(4) and the Cohomology of Siegel Modular Threefolds","Lecture Notes in Mathematics","","","","10.1007/978-3-540-89306-6","Rainer Weissauer","2009","http://link.springer.com/book/10.1007/978-3-540-89306-6","Book"
"Elliptic Curves","Lecture Notes in Mathematics","","","","10.1007/978-3-540-46916-2","Alain Robert","1973","http://link.springer.com/book/10.1007/978-3-540-46916-2","Book"
"Cohomologie Galoisienne","Lecture Notes in Mathematics","","","","10.1007/978-3-662-21576-0","Jean-Pierre Serre","1965","http://link.springer.com/book/10.1007/978-3-662-21576-0","Book"
"Rational Points and Arithmetic of Fundamental Groups","Lecture Notes in Mathematics","","","","10.1007/978-3-642-30674-7","Jakob Stix","2013","http://link.springer.com/book/10.1007/978-3-642-30674-7","Book"
"Painlevé Equations in the Differential Geometry of Surfaces","Lecture Notes in Mathematics","","","","10.1007/b76883","Alexander I. BobenkoUlrich Eitner","2000","http://link.springer.com/book/10.1007/b76883","Book"
"Proof Theory","Lecture Notes in Mathematics","","","","10.1007/978-3-540-46825-7","Wolfram Pohlers","1989","http://link.springer.com/book/10.1007/978-3-540-46825-7","Book"
"Topics in Noncommutative Algebra","Lecture Notes in Mathematics","","","","10.1007/978-3-642-22597-0","Andrea BonfiglioliRoberta Fulci","2012","http://link.springer.com/book/10.1007/978-3-642-22597-0","Book"
"Stochastic Analysis in Discrete and Continuous Settings","Lecture Notes in Mathematics","","","","10.1007/978-3-642-02380-4","Nicolas Privault","2009","http://link.springer.com/book/10.1007/978-3-642-02380-4","Book"
"Factors and Factorizations of Graphs","Lecture Notes in Mathematics","","","","10.1007/978-3-642-21919-1","Jin AkiyamaMikio Kano","2011","http://link.springer.com/book/10.1007/978-3-642-21919-1","Book"
"Differential Geometry in the Large","Lecture Notes in Mathematics","","","","10.1007/978-3-662-21563-0","Heinz Hopf","1983","http://link.springer.com/book/10.1007/978-3-662-21563-0","Book"
"Fatou, Julia, Montel","Lecture Notes in Mathematics","","","","10.1007/978-3-642-17854-2","Michèle Audin","2011","http://link.springer.com/book/10.1007/978-3-642-17854-2","Book"
"Approximate Deconvolution Models of Turbulence","Lecture Notes in Mathematics","","","","10.1007/978-3-642-24409-4","William J. LaytonLeo Rebholz","2012","http://link.springer.com/book/10.1007/978-3-642-24409-4","Book"
"Abelian Group Theory","Lecture Notes in Mathematics","","","","10.1007/978-3-662-21560-9","Rüdiger GöbelLee LadyAdolf Mader","1983","http://link.springer.com/book/10.1007/978-3-662-21560-9","Book"
"Geometric Theory of Discrete Nonautonomous Dynamical Systems","Lecture Notes in Mathematics","","","","10.1007/978-3-642-14258-1","Christian Pötzsche","2010","http://link.springer.com/book/10.1007/978-3-642-14258-1","Book"
"Introduction to Complex Reflection Groups and Their Braid Groups","Lecture Notes in Mathematics","","","","10.1007/978-3-642-11175-4","Michel Broué","2010","http://link.springer.com/book/10.1007/978-3-642-11175-4","Book"
"Invariance Entropy for Deterministic Control Systems","Lecture Notes in Mathematics","","","","10.1007/978-3-319-01288-9","Christoph Kawan","2013","http://link.springer.com/book/10.1007/978-3-319-01288-9","Book"
"Proceedings of the Second International Conference on the Theory of Groups","Lecture Notes in Mathematics","","","","10.1007/978-3-662-21571-5","M. F. Newman","1974","http://link.springer.com/book/10.1007/978-3-662-21571-5","Book"
"The Decomposition of Primes in Torsion Point Fields","Lecture Notes in Mathematics","","","","10.1007/b80624","Clemens Adelmann","2001","http://link.springer.com/book/10.1007/b80624","Book"
"Regularity and Approximability of Electronic Wave Functions","Lecture Notes in Mathematics","","","","10.1007/978-3-642-12248-4","Harry Yserentant","2010","http://link.springer.com/book/10.1007/978-3-642-12248-4","Book"
"Blow-up Theories for Semilinear Parabolic Equations","Lecture Notes in Mathematics","","","","10.1007/978-3-642-18460-4","Bei Hu","2011","http://link.springer.com/book/10.1007/978-3-642-18460-4","Book"
"Die Zwischenschrittmethode zur Lösung mehrdimensionaler Probleme der mathematischen Physik","Lecture Notes in Mathematics","","","","10.1007/BFb0098290","N. N. Janenko","1969","http://link.springer.com/book/10.1007/BFb0098290","Book"
"Almost Periodic Solutions of Impulsive Differential Equations","Lecture Notes in Mathematics","","","","10.1007/978-3-642-27546-3","Gani T. Stamov","2012","http://link.springer.com/book/10.1007/978-3-642-27546-3","Book"
"Multi-Layer Potentials and Boundary Problems","Lecture Notes in Mathematics","","","","10.1007/978-3-642-32666-0","Irina MitreaMarius Mitrea","2013","http://link.springer.com/book/10.1007/978-3-642-32666-0","Book"
"Mathematical Modeling in Biomedical Imaging II","Lecture Notes in Mathematics","","","","10.1007/978-3-642-22990-9","Habib Ammari","2012","http://link.springer.com/book/10.1007/978-3-642-22990-9","Book"
"Random Polymers","Lecture Notes in Mathematics","","","","10.1007/978-3-642-00333-2","Frank Hollander","2009","http://link.springer.com/book/10.1007/978-3-642-00333-2","Book"
"Stable Homotopy Theory","Lecture Notes in Mathematics","","","","10.1007/978-3-662-15942-2","J. Frank Adams","1964","http://link.springer.com/book/10.1007/978-3-662-15942-2","Book"
"Prime Divisors and Noncommutative Valuation Theory","Lecture Notes in Mathematics","","","","10.1007/978-3-642-31152-9","Hidetoshi MarubayashiFred Van Oystaeyen","2012","http://link.springer.com/book/10.1007/978-3-642-31152-9","Book"
"On the Estimation of Multiple Random Integrals and U-Statistics","Lecture Notes in Mathematics","","","","10.1007/978-3-642-37617-7","Péter Major","2013","http://link.springer.com/book/10.1007/978-3-642-37617-7","Book"
"Penalising Brownian Paths","Lecture Notes in Mathematics","","","","10.1007/978-3-540-89699-9","Bernard RoynetteMarc Yor","2009","http://link.springer.com/book/10.1007/978-3-540-89699-9","Book"
"Modules over Operads and Functors","Lecture Notes in Mathematics","","","","10.1007/978-3-540-89056-0","Benoit Fresse","2009","http://link.springer.com/book/10.1007/978-3-540-89056-0","Book"
"Cohomologie Etale","Lecture Notes in Mathematics","","","","10.1007/BFb0091516","Pierre Deligne","1977","http://link.springer.com/book/10.1007/BFb0091516","Book"
"Composite Asymptotic Expansions","Lecture Notes in Mathematics","","","","10.1007/978-3-642-34035-2","Augustin FruchardReinhard Schäfke","2013","http://link.springer.com/book/10.1007/978-3-642-34035-2","Book"
"The Dirichlet Problem for Elliptic-Hyperbolic Equations of Keldysh Type","Lecture Notes in Mathematics","","","","10.1007/978-3-642-24415-5","Thomas H. Otway","2012","http://link.springer.com/book/10.1007/978-3-642-24415-5","Book"
"Classical Banach Spaces I","Classics in Mathematics","","","","10.1007/978-3-540-37732-0","Joram LindenstraussLior Tzafriri","1996","http://link.springer.com/book/10.1007/978-3-540-37732-0","Book"
"Coding Theory","Lecture Notes in Mathematics","","","","10.1007/978-3-662-20712-3","Jacobus H. van Lint","1971","http://link.springer.com/book/10.1007/978-3-662-20712-3","Book"
"Riemannsche Geometrie im Großen","Lecture Notes in Mathematics","","","","10.1007/978-3-540-35901-2","Dr. Detlef GromollProfessor Dr. Wilhelm KlingenbergDr. Wolfgang Meyer","1968","http://link.springer.com/book/10.1007/978-3-540-35901-2","Book"
"The Analysis of Fractional Differential Equations","Lecture Notes in Mathematics","","","","10.1007/978-3-642-14574-2","Kai Diethelm","2010","http://link.springer.com/book/10.1007/978-3-642-14574-2","Book"
"An Index and Other Useful Information","Lecture Notes in Mathematics","","","","10.1007/978-1-4899-4581-5","","1975","http://link.springer.com/book/10.1007/978-1-4899-4581-5","Book"
"Morrey and Campanato Meet Besov, Lizorkin and Triebel","Lecture Notes in Mathematics","","","","10.1007/978-3-642-14606-0","Wen YuanWinfried SickelDachun Yang","2010","http://link.springer.com/book/10.1007/978-3-642-14606-0","Book"
"Generalized Bessel Functions of the First Kind","Lecture Notes in Mathematics","","","","10.1007/978-3-642-12230-9","Árpád Baricz","2010","http://link.springer.com/book/10.1007/978-3-642-12230-9","Book"
"Diophantine Approximation and Abelian Varieties","Lecture Notes in Mathematics","","","","10.1007/978-3-540-48208-6","Bas EdixhovenJan-Hendrik Evertse","1993","http://link.springer.com/book/10.1007/978-3-540-48208-6","Book"
"F.B.I. Transformation","Lecture Notes in Mathematics","","","","10.1007/978-3-662-21539-5","Jean-Marc Delort","1992","http://link.springer.com/book/10.1007/978-3-662-21539-5","Book"
"Cohomologie Galoisienne","Lecture Notes in Mathematics","","","","10.1007/978-3-662-21553-1","Jean-Pierre Serre","1973","http://link.springer.com/book/10.1007/978-3-662-21553-1","Book"
"Random Perturbation of PDEs and Fluid Dynamic Models","Lecture Notes in Mathematics","","","","10.1007/978-3-642-18231-0","Franco Flandoli","2011","http://link.springer.com/book/10.1007/978-3-642-18231-0","Book"
"A1-Algebraic Topology over a Field","Lecture Notes in Mathematics","","","","10.1007/978-3-642-29514-0","Fabien Morel","2012","http://link.springer.com/book/10.1007/978-3-642-29514-0","Book"
"Sobolev Gradients and Differential Equations","Lecture Notes in Mathematics","","","","10.1007/978-3-642-04041-2","J.W. Neuberger","2010","http://link.springer.com/book/10.1007/978-3-642-04041-2","Book"
"Groups of Homotopy Classes","Lecture Notes in Mathematics","","","","10.1007/978-3-662-15913-2","M. ArkowitzC. R. Curjel","1964","http://link.springer.com/book/10.1007/978-3-662-15913-2","Book"
"Asymptotic Stability of Steady Compressible Fluids","Lecture Notes in Mathematics","","","","10.1007/978-3-642-21137-9","Mariarosaria Padula","2011","http://link.springer.com/book/10.1007/978-3-642-21137-9","Book"
"Banach Spaces and Descriptive Set Theory: Selected Topics","Lecture Notes in Mathematics","","","","10.1007/978-3-642-12153-1","Pandelis Dodos","2010","http://link.springer.com/book/10.1007/978-3-642-12153-1","Book"
"Some Mathematical Models from Population Genetics","Lecture Notes in Mathematics","","","","10.1007/978-3-642-16632-7","Alison Etheridge","2011","http://link.springer.com/book/10.1007/978-3-642-16632-7","Book"
"Blocks and Families for Cyclotomic Hecke Algebras","Lecture Notes in Mathematics","","","","10.1007/978-3-642-03064-2","Maria Chlouveraki","2009","http://link.springer.com/book/10.1007/978-3-642-03064-2","Book"
"Milnor Fiber Boundary of a Non-isolated Surface Singularity","Lecture Notes in Mathematics","","","","10.1007/978-3-642-23647-1","András NémethiÁgnes Szilárd","2012","http://link.springer.com/book/10.1007/978-3-642-23647-1","Book"
"Algèbre Locale Multiplicités","Lecture Notes in Mathematics","","","","10.1007/978-3-540-37123-6","Jean-Pierre Serre","1975","http://link.springer.com/book/10.1007/978-3-540-37123-6","Book"
"Standard Integral Table Algebras Generated by Non-real Element of Small Degree","Lecture Notes in Mathematics","","","","10.1007/b82936","Zvi AradMikhail Muzychuk","2002","http://link.springer.com/book/10.1007/b82936","Book"
"The Dirac Spectrum","Lecture Notes in Mathematics","","","","10.1007/978-3-642-01570-0","Nicolas Ginoux","2009","http://link.springer.com/book/10.1007/978-3-642-01570-0","Book"
"Diophantine Approximation","Lecture Notes in Mathematics","","","","10.1007/978-3-540-38645-2","Wolfgang M. Schmidt","1980","http://link.springer.com/book/10.1007/978-3-540-38645-2","Book"
"The Geometry of Jordan and Lie Structures","Lecture Notes in Mathematics","","","","10.1007/b76884","Wolfgang Bertram","2000","http://link.springer.com/book/10.1007/b76884","Book"
"Classical Summation in Commutative and Noncommutative L<sub>p</sub>-Spaces","Lecture Notes in Mathematics","","","","10.1007/978-3-642-20438-8","Andreas Defant","2011","http://link.springer.com/book/10.1007/978-3-642-20438-8","Book"
"Second Order PDE’s in Finite and Infinite Dimension","Lecture Notes in Mathematics","","","","10.1007/b80743","Sandra Cerrai","2001","http://link.springer.com/book/10.1007/b80743","Book"
"Similarity Problems and Completely Bounded Maps","Lecture Notes in Mathematics","","","","10.1007/978-3-662-21537-1","Gilles Pisier","1996","http://link.springer.com/book/10.1007/978-3-662-21537-1","Book"
"Hydrodynamic Limits of the Boltzmann Equation","Lecture Notes in Mathematics","","","","10.1007/978-3-540-92847-8","Laure Saint-Raymond","2009","http://link.springer.com/book/10.1007/978-3-540-92847-8","Book"
"Damped Oscillations of Linear Systems","Lecture Notes in Mathematics","","","","10.1007/978-3-642-21335-9","Krešimir Veselić","2011","http://link.springer.com/book/10.1007/978-3-642-21335-9","Book"
"Smooth Ergodic Theory for Endomorphisms","Lecture Notes in Mathematics","","","","10.1007/978-3-642-01954-8","Min QianJian-Sheng XieShu Zhu","2009","http://link.springer.com/book/10.1007/978-3-642-01954-8","Book"
"Modular Functions of One Variable III","Lecture Notes in Mathematics","","","","10.1007/978-3-540-37802-0","Willem KuijkJean-Pierre Serre","1973","http://link.springer.com/book/10.1007/978-3-540-37802-0","Book"
"Stochastic Calculus with Infinitesimals","Lecture Notes in Mathematics","","","","10.1007/978-3-642-33149-7","Frederik Herzberg","2013","http://link.springer.com/book/10.1007/978-3-642-33149-7","Book"
"Hodge Cycles, Motives, and Shimura Varieties","Lecture Notes in Mathematics","","","","10.1007/978-3-540-38955-2","Pierre DeligneJames S. MilneArthur OgusKuang-yen Shih","1981","http://link.springer.com/book/10.1007/978-3-540-38955-2","Book"
"Pseudo-periodic Maps and Degeneration of Riemann Surfaces","Lecture Notes in Mathematics","","","","10.1007/978-3-642-22534-5","Yukio MatsumotoJosé María Montesinos-Amilibia","2011","http://link.springer.com/book/10.1007/978-3-642-22534-5","Book"
"Introduction to Algebraic Independence Theory","Lecture Notes in Mathematics","","","","10.1007/b76882","Yuri V. NesterenkoPatrice Philippon","2001","http://link.springer.com/book/10.1007/b76882","Book"
"Convex Functions, Monotone Operators and Differentiability","Lecture Notes in Mathematics","","","","10.1007/978-3-662-21569-2","Robert R. Phelps","1989","http://link.springer.com/book/10.1007/978-3-662-21569-2","Book"
"The Cauchy Problem for Higher Order Abstract Differential Equations","Lecture Notes in Mathematics","","","","10.1007/978-3-540-49479-9","Ti-Jun XiaoJin Liang","1998","http://link.springer.com/book/10.1007/978-3-540-49479-9","Book"
"Modular Functions of One Variable II","Lecture Notes in Mathematics","","","","10.1007/978-3-540-37855-6","Pierre DeligneWillem Kuijk","1973","http://link.springer.com/book/10.1007/978-3-540-37855-6","Book"
