Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Advances in Order Restricted Statistical Inference","Lecture Notes in Statistics","","","","10.1007/978-1-4613-9940-7","Richard DykstraTim RobertsonFarroll T. Wright","1986","http://link.springer.com/book/10.1007/978-1-4613-9940-7","Book"
"Stochastic Orders in Reliability and Risk","Lecture Notes in Statistics","","","","10.1007/978-1-4614-6892-9","Haijun LiXiaohu Li","2013","http://link.springer.com/book/10.1007/978-1-4614-6892-9","Book"
"Multiple Statistical Decision Theory: Recent Developments","Lecture Notes in Statistics","","","","10.1007/978-1-4612-5925-1","Shanti S. GuptaDeng-Yuan Huang","1981","http://link.springer.com/book/10.1007/978-1-4612-5925-1","Book"
"Boundary Crossing of Brownian Motion","Lecture Notes in Statistics","","","","10.1007/978-1-4615-6569-7","Hans Rudolf Lerche","1986","http://link.springer.com/book/10.1007/978-1-4615-6569-7","Book"
"Spatial Statistics and Computational Methods","Lecture Notes in Statistics","","","","10.1007/978-0-387-21811-3","Jesper Møller","2003","http://link.springer.com/book/10.1007/978-0-387-21811-3","Book"
"A Road to Randomness in Physical Systems","Lecture Notes in Statistics","","","","10.1007/978-1-4419-8684-9","Eduardo M. R. A. Engel","1992","http://link.springer.com/book/10.1007/978-1-4419-8684-9","Book"
"Multivariate Nonparametric Methods with R","Lecture Notes in Statistics","","","","10.1007/978-1-4419-0468-3","Hannu Oja","2010","http://link.springer.com/book/10.1007/978-1-4419-0468-3","Book"
"Metric Methods for Analyzing Partially Ranked Data","Lecture Notes in Statistics","","","","10.1007/978-1-4612-1106-8","Douglas E. Critchlow","1985","http://link.springer.com/book/10.1007/978-1-4612-1106-8","Book"
"An Introduction to Bispectral Analysis and Bilinear Time Series Models","Lecture Notes in Statistics","","","","10.1007/978-1-4684-6318-7","Dr. T. Subba RaoDr. M. M. Gabr","1984","http://link.springer.com/book/10.1007/978-1-4684-6318-7","Book"
"A Calculus for Factorial Arrangements","Lecture Notes in Statistics","","","","10.1007/978-1-4419-8730-3","Sudhir GuptaRahul Mukerjee","1989","http://link.springer.com/book/10.1007/978-1-4419-8730-3","Book"
"Weighted Empirical Processes in Dynamic Nonlinear Models","Lecture Notes in Statistics","","","","10.1007/978-1-4613-0055-7","Hira L. Koul","2002","http://link.springer.com/book/10.1007/978-1-4613-0055-7","Book"
"Semiparametric Methods in Econometrics","Lecture Notes in Statistics","","","","10.1007/978-1-4612-0621-7","Joel L. Horowitz","1998","http://link.springer.com/book/10.1007/978-1-4612-0621-7","Book"
