Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Decision Modelling and Information Systems","Operations Research/Computer Science Interfaces Series","","","","10.1007/978-1-4615-0505-1","Nikitas-Spiros KoutsoukisGautam Mitra","2003","http://link.springer.com/book/10.1007/978-1-4615-0505-1","Book"
"Linguistic Geometry","Operations Research/Computer Science Interfaces Series","","","","10.1007/978-1-4615-4439-5","Boris Stilman","2000","http://link.springer.com/book/10.1007/978-1-4615-4439-5","Book"
"Simulation-Based Optimization","Operations Research/Computer Science Interfaces Series","","","","10.1007/978-1-4757-3766-0","Abhijit Gosavi","2003","http://link.springer.com/book/10.1007/978-1-4757-3766-0","Book"
"Scheduling of Resource-Constrained Projects","Operations Research/Computer Science Interfaces Series","","","","10.1007/978-1-4615-4629-0","Robert Klein","2000","http://link.springer.com/book/10.1007/978-1-4615-4629-0","Book"
"Genetic Algorithms and Fuzzy Multiobjective Optimization","Operations Research/Computer Science Interfaces Series","","","","10.1007/978-1-4615-1519-7","Masatoshi Sakawa","2002","http://link.springer.com/book/10.1007/978-1-4615-1519-7","Book"
"Cellular Genetic Algorithms","Operations Research/Computer Science Interfaces Series","","","","10.1007/978-0-387-77610-1","Bernabe DorronsoroEnrique Alba","2008","http://link.springer.com/book/10.1007/978-0-387-77610-1","Book"
"Anticipatory Optimization for Dynamic Decision Making","Operations Research/Computer Science Interfaces Series","","","","10.1007/978-1-4614-0505-4","Stephan Meisel","2011","http://link.springer.com/book/10.1007/978-1-4614-0505-4","Book"
"Scatter Search","Operations Research/Computer Science Interfaces Series","","","","10.1007/978-1-4615-0337-8","Manuel LagunaRafael Martí","2003","http://link.springer.com/book/10.1007/978-1-4615-0337-8","Book"
"Constraint and Integer Programming","Operations Research/Computer Science Interfaces Series","","","","10.1007/978-1-4419-8917-8","Michela Milano","2004","http://link.springer.com/book/10.1007/978-1-4419-8917-8","Book"
"Humanitarian and Relief Logistics","Operations Research/Computer Science Interfaces Series","","","","10.1007/978-1-4614-7007-6","Vasileios ZeimpekisSoumia IchouaIoannis Minis","2013","http://link.springer.com/book/10.1007/978-1-4614-7007-6","Book"
"Advances in Metaheuristics","Operations Research/Computer Science Interfaces Series","","","","10.1007/978-1-4614-6322-1","Luca Di GasperoAndrea SchaerfThomas Stützle","2013","http://link.springer.com/book/10.1007/978-1-4614-6322-1","Book"
"Telecommunications Network Design and Management","Operations Research/Computer Science Interfaces Series","","","","10.1007/978-1-4757-3762-2","G. AnandalingamS. Raghavan","2003","http://link.springer.com/book/10.1007/978-1-4757-3762-2","Book"
