Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Mathematical Methods for Elastic Plates","Springer Monographs in Mathematics","","","","10.1007/978-1-4471-6434-0","Christian Constanda","2014","http://link.springer.com/book/10.1007/978-1-4471-6434-0","Book"
"Eta Products and Theta Series Identities","Springer Monographs in Mathematics","","","","10.1007/978-3-642-16152-0","Günter Köhler","2011","http://link.springer.com/book/10.1007/978-3-642-16152-0","Book"
"Duality Theories for Boolean Algebras with Operators","Springer Monographs in Mathematics","","","","10.1007/978-3-319-06743-8","Steven Givant","2014","http://link.springer.com/book/10.1007/978-3-319-06743-8","Book"
"An Introduction to the Mathematical Theory of the Navier-Stokes Equations","Springer Monographs in Mathematics","","","","10.1007/978-0-387-09620-9","G.P. Galdi","2011","http://link.springer.com/book/10.1007/978-0-387-09620-9","Book"
"Harmonic Analysis of Mean Periodic Functions on Symmetric Spaces and the Heisenberg Group","Springer Monographs in Mathematics","","","","10.1007/978-1-84882-533-8","Prof. Valery V. VolchkovProf. Vitaly V. Volchkov","2009","http://link.springer.com/book/10.1007/978-1-84882-533-8","Book"
"Fractals and Universal Spaces in Dimension Theory","Springer Monographs in Mathematics","","","","10.1007/978-0-387-85494-6","Stephen Lipscomb","2009","http://link.springer.com/book/10.1007/978-0-387-85494-6","Book"
"Elliptic Curves and Arithmetic Invariants","Springer Monographs in Mathematics","","","","10.1007/978-1-4614-6657-4","Haruzo Hida","2013","http://link.springer.com/book/10.1007/978-1-4614-6657-4","Book"
"Random Dynamical Systems","Springer Monographs in Mathematics","","","","10.1007/978-3-662-12878-7","Ludwig Arnold","1998","http://link.springer.com/book/10.1007/978-3-662-12878-7","Book"
"Nevanlinna’s Theory of Value Distribution","Springer Monographs in Mathematics","","","","10.1007/978-3-662-12590-8","William CherryZhuan Ye","2001","http://link.springer.com/book/10.1007/978-3-662-12590-8","Book"
"Geometrical Physics in Minkowski Spacetime","Springer Monographs in Mathematics","","","","10.1007/978-1-4471-3893-8","E. G. Peter Rowe","2001","http://link.springer.com/book/10.1007/978-1-4471-3893-8","Book"
"Octonions, Jordan Algebras and Exceptional Groups","Springer Monographs in Mathematics","","","","10.1007/978-3-662-12622-6","Tonny A. SpringerFerdinand D. Veldkamp","2000","http://link.springer.com/book/10.1007/978-3-662-12622-6","Book"
