Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Descriptive Topology and Functional Analysis","Springer Proceedings in Mathematics & Statistics","","","","10.1007/978-3-319-05224-3","Juan Carlos FerrandoManuel López-Pellicer","2014","http://link.springer.com/book/10.1007/978-3-319-05224-3","Book"
"Recent Advances in Delay Differential and Difference Equations","Springer Proceedings in Mathematics & Statistics","","","","10.1007/978-3-319-08251-6","Ferenc HartungMihály Pituk","2014","http://link.springer.com/book/10.1007/978-3-319-08251-6","Book"
"New Frontiers of Multidisciplinary Research in STEAM-H (Science, Technology, Engineering, Agriculture, Mathematics, and Health)","Springer Proceedings in Mathematics & Statistics","","","","10.1007/978-3-319-07755-0","Bourama Toni","2014","http://link.springer.com/book/10.1007/978-3-319-07755-0","Book"
"Random Matrices and Iterated Random Functions","Springer Proceedings in Mathematics & Statistics","","","","10.1007/978-3-642-38806-4","Gerold AlsmeyerMatthias Löwe","2013","http://link.springer.com/book/10.1007/978-3-642-38806-4","Book"
"Advances in Applied Mathematics and Approximation Theory","Springer Proceedings in Mathematics & Statistics","","","","10.1007/978-1-4614-6393-1","George A. AnastassiouOktay Duman","2013","http://link.springer.com/book/10.1007/978-1-4614-6393-1","Book"
"Analytic Methods in Interdisciplinary Applications","Springer Proceedings in Mathematics & Statistics","","","","10.1007/978-3-319-12148-2","Vladimir V. MityushevMichael Ruzhansky","2015","http://link.springer.com/book/10.1007/978-3-319-12148-2","Book"
"Lie Theory and Its Applications in Physics","Springer Proceedings in Mathematics & Statistics","","","","10.1007/978-4-431-54270-4","Vladimir Dobrev","2013","http://link.springer.com/book/10.1007/978-4-431-54270-4","Book"
"Advances in Interdisciplinary Mathematical Research","Springer Proceedings in Mathematics & Statistics","","","","10.1007/978-1-4614-6345-0","Bourama Toni","2013","http://link.springer.com/book/10.1007/978-1-4614-6345-0","Book"
"Managing Complexity, Reducing Perplexity","Springer Proceedings in Mathematics & Statistics","","","","10.1007/978-3-319-03759-2","Marcello DelitalaGiulia Ajmone Marsan","2014","http://link.springer.com/book/10.1007/978-3-319-03759-2","Book"
"Approximation Theory XIV: San Antonio 2013","Springer Proceedings in Mathematics & Statistics","","","","10.1007/978-3-319-06404-8","Gregory E. FasshauerLarry L. Schumaker","2014","http://link.springer.com/book/10.1007/978-3-319-06404-8","Book"
"Stochastic Analysis and Related Topics","Springer Proceedings in Mathematics & Statistics","","","","10.1007/978-3-642-29982-7","Laurent DecreusefondJamal Najim","2012","http://link.springer.com/book/10.1007/978-3-642-29982-7","Book"
"Future Vision and Trends on Shapes, Geometry and Algebra","Springer Proceedings in Mathematics & Statistics","","","","10.1007/978-1-4471-6461-6","Raffaele De AmicisGiuseppe Conti","2014","http://link.springer.com/book/10.1007/978-1-4471-6461-6","Book"
"Topics in Statistical Simulation","Springer Proceedings in Mathematics & Statistics","","","","10.1007/978-1-4939-2104-1","V.B. MelasStefania MignaniPaola MonariLuigi Salmaso","2014","http://link.springer.com/book/10.1007/978-1-4939-2104-1","Book"
"Geometry and Analysis of Fractals","Springer Proceedings in Mathematics & Statistics","","","","10.1007/978-3-662-43920-3","De-Jun FengKa-Sing Lau","2014","http://link.springer.com/book/10.1007/978-3-662-43920-3","Book"
"Applied Inverse Problems","Springer Proceedings in Mathematics & Statistics","","","","10.1007/978-1-4614-7816-4","Larisa Beilina","2013","http://link.springer.com/book/10.1007/978-1-4614-7816-4","Book"
"Optimization and Control Techniques and Applications","Springer Proceedings in Mathematics & Statistics","","","","10.1007/978-3-662-43404-8","Honglei XuKok Lay TeoYi Zhang","2014","http://link.springer.com/book/10.1007/978-3-662-43404-8","Book"
"Number Theory and Related Fields","Springer Proceedings in Mathematics & Statistics","","","","10.1007/978-1-4614-6642-0","Jonathan M. BorweinIgor ShparlinskiWadim Zudilin","2013","http://link.springer.com/book/10.1007/978-1-4614-6642-0","Book"
"Geometry and its Applications","Springer Proceedings in Mathematics & Statistics","","","","10.1007/978-3-319-04675-4","Vladimir RovenskiPaweł Walczak","2014","http://link.springer.com/book/10.1007/978-3-319-04675-4","Book"
"Advances in Global Optimization","Springer Proceedings in Mathematics & Statistics","","","","10.1007/978-3-319-08377-3","David GaoNing RuanWenxun Xing","2015","http://link.springer.com/book/10.1007/978-3-319-08377-3","Book"
"Topics in Numerical Methods for Finance","Springer Proceedings in Mathematics & Statistics","","","","10.1007/978-1-4614-3433-7","Mark CumminsFinbarr MurphyJohn J.H. Miller","2012","http://link.springer.com/book/10.1007/978-1-4614-3433-7","Book"
"Bridging Algebra, Geometry, and Topology","Springer Proceedings in Mathematics & Statistics","","","","10.1007/978-3-319-09186-0","Denis IbadulaWillem Veys","2014","http://link.springer.com/book/10.1007/978-3-319-09186-0","Book"
"Advances in Applied Mathematics","Springer Proceedings in Mathematics & Statistics","","","","10.1007/978-3-319-06923-4","Ali R. Ansari","2014","http://link.springer.com/book/10.1007/978-3-319-06923-4","Book"
"Connections Between Algebra, Combinatorics, and Geometry","Springer Proceedings in Mathematics & Statistics","","","","10.1007/978-1-4939-0626-0","Susan M. CooperSean Sather-Wagstaff","2014","http://link.springer.com/book/10.1007/978-1-4939-0626-0","Book"
"Lie Theory and Its Applications in Physics","Springer Proceedings in Mathematics & Statistics","","","","10.1007/978-4-431-55285-7","Vladimir Dobrev","2014","http://link.springer.com/book/10.1007/978-4-431-55285-7","Book"
"Algebraic and Complex Geometry","Springer Proceedings in Mathematics & Statistics","","","","10.1007/978-3-319-05404-9","Anne Frühbis-KrügerRemke Nanne KloostermanMatthias Schütt","2014","http://link.springer.com/book/10.1007/978-3-319-05404-9","Book"
"Dynamics of Information Systems: Algorithmic Approaches","Springer Proceedings in Mathematics & Statistics","","","","10.1007/978-1-4614-7582-8","Alexey SorokinPanos M. Pardalos","2013","http://link.springer.com/book/10.1007/978-1-4614-7582-8","Book"
"Applied Non-Linear Dynamical Systems","Springer Proceedings in Mathematics & Statistics","","","","10.1007/978-3-319-08266-0","Jan Awrejcewicz","2014","http://link.springer.com/book/10.1007/978-3-319-08266-0","Book"
"Advances in Growth Curve Models","Springer Proceedings in Mathematics & Statistics","","","","10.1007/978-1-4614-6862-2","Ratan Dasgupta","2013","http://link.springer.com/book/10.1007/978-1-4614-6862-2","Book"
