Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Insurance Economics","Springer Texts in Business and Economics","","","","10.1007/978-3-642-20548-4","Peter ZweifelRoland Eisen","2012","http://link.springer.com/book/10.1007/978-3-642-20548-4","Book"
"A Concise Guide to Market Research","Springer Texts in Business and Economics","","","","10.1007/978-3-642-53965-7","Marko SarstedtErik Mooi","2014","http://link.springer.com/book/10.1007/978-3-642-53965-7","Book"
"Global Operations Strategy","Springer Texts in Business and Economics","","","","10.1007/978-3-642-36708-3","Yeming Gong","2013","http://link.springer.com/book/10.1007/978-3-642-36708-3","Book"
"Real Estate Investment","Springer Texts in Business and Economics","","","","10.1007/978-3-642-23527-6","G Jason GoddardBill Marcum","2012","http://link.springer.com/book/10.1007/978-3-642-23527-6","Book"
"Network Economics","Springer Texts in Business and Economics","","","","10.1007/978-3-319-11695-2","Günter Knieps","2015","http://link.springer.com/book/10.1007/978-3-319-11695-2","Book"
"International Trade Theory and Policy","Springer Texts in Business and Economics","","","","10.1007/978-3-642-37314-5","Giancarlo Gandolfo","2014","http://link.springer.com/book/10.1007/978-3-642-37314-5","Book"
"Materials Management","Springer Texts in Business and Economics","","","","10.1007/978-81-322-1970-5","Prem Vrat","2014","http://link.springer.com/book/10.1007/978-81-322-1970-5","Book"
"Supply Chain Transformation","Springer Texts in Business and Economics","","","","10.1007/978-3-642-41911-9","Amiya K. Chakravarty","2014","http://link.springer.com/book/10.1007/978-3-642-41911-9","Book"
"Mathematical Methods in Economics and Social Choice","Springer Texts in Business and Economics","","","","10.1007/978-3-642-39818-6","Norman Schofield","2014","http://link.springer.com/book/10.1007/978-3-642-39818-6","Book"
"Knowledge Management","Springer Texts in Business and Economics","","","","10.1007/978-3-319-03698-4","Klaus NorthGita Kumta","2014","http://link.springer.com/book/10.1007/978-3-319-03698-4","Book"
"New Perspectives on Industrial Organization","Springer Texts in Business and Economics","","","","10.1007/978-1-4614-3241-8","Victor J. TremblayCarol Horton Tremblay","2012","http://link.springer.com/book/10.1007/978-1-4614-3241-8","Book"
"Business Relationship Management and Marketing","Springer Texts in Business and Economics","","","","10.1007/978-3-662-43856-5","Michael KleinaltenkampWulff PlinkeIngmar Geiger","2015","http://link.springer.com/book/10.1007/978-3-662-43856-5","Book"
"Understanding Auctions","Springer Texts in Business and Economics","","","","10.1007/978-3-319-08813-6","Asunción MochónYago Sáez","2015","http://link.springer.com/book/10.1007/978-3-319-08813-6","Book"
"International Company Taxation","Springer Texts in Business and Economics","","","","10.1007/978-3-642-36306-1","Ulrich Schreiber","2013","http://link.springer.com/book/10.1007/978-3-642-36306-1","Book"
"United States Health Care Policymaking","Springer Texts in Business and Economics","","","","10.1007/978-1-4614-3169-5","Sunday E. Ubokudom","2012","http://link.springer.com/book/10.1007/978-1-4614-3169-5","Book"
"Growth and International Trade","Springer Texts in Business and Economics","","","","10.1007/978-3-642-33669-0","Karl FarmerMatthias Schelnast","2013","http://link.springer.com/book/10.1007/978-3-642-33669-0","Book"
