Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"A First Course in Bayesian Statistical Methods","Springer Texts in Statistics","","","","10.1007/978-0-387-92407-6","Peter D. Hoff","2009","http://link.springer.com/book/10.1007/978-0-387-92407-6","Book"
"A First Course in Probability Models and Statistical Inference","Springer Texts in Statistics","","","","10.1007/978-1-4419-8540-8","J. H. C. Creighton","1994","http://link.springer.com/book/10.1007/978-1-4419-8540-8","Book"
"Essential Statistical Inference","Springer Texts in Statistics","","","","10.1007/978-1-4614-4818-1","Dennis D. BoosL. A. Stefanski","2013","http://link.springer.com/book/10.1007/978-1-4614-4818-1","Book"
"Plane Answers to Complex Questions","Springer Texts in Statistics","","","","10.1007/978-1-4419-9816-3","Ronald Christensen","2011","http://link.springer.com/book/10.1007/978-1-4419-9816-3","Book"
"Regression Analysis","Springer Texts in Statistics","","","","10.1007/978-1-4612-4470-7","Ashish SenMuni Srivastava","1990","http://link.springer.com/book/10.1007/978-1-4612-4470-7","Book"
"Modeling, Analysis, Design, and Control of Stochastic Systems","Springer Text in Statistics","","","","10.1007/978-1-4757-3098-2","V.G. Kulkarni","1999","http://link.springer.com/book/10.1007/978-1-4757-3098-2","Book"
"Basic Principles of Structural Equation Modeling","Springer Texts in Statistics","","","","10.1007/978-1-4612-3974-1","Ralph O. Mueller PhD","1996","http://link.springer.com/book/10.1007/978-1-4612-3974-1","Book"
"Probability","Springer Texts in Statistics","","","","10.1007/978-1-4612-0891-4","Alan F. Karr","1993","http://link.springer.com/book/10.1007/978-1-4612-0891-4","Book"
"Time Series Analysis and Its Applications","Springer Texts in Statistics","","","","10.1007/978-1-4419-7865-3","Robert H. ShumwayDavid S. Stoffer","2011","http://link.springer.com/book/10.1007/978-1-4419-7865-3","Book"
"Plane Answers to Complex Questions","Springer Texts in Statistics","","","","10.1007/978-0-387-21544-0","Ronald Christensen","2002","http://link.springer.com/book/10.1007/978-0-387-21544-0","Book"
"Applied Multivariate Data Analysis","Springer Texts in Statistics","","","","10.1007/978-1-4612-0955-3","J. D. Jobson","1991","http://link.springer.com/book/10.1007/978-1-4612-0955-3","Book"
"Optimization","Springer Texts in Statistics","","","","10.1007/978-1-4757-4182-7","Kenneth Lange","2004","http://link.springer.com/book/10.1007/978-1-4757-4182-7","Book"
"A First Course in Multivariate Statistics","Springer Texts in Statistics","","","","10.1007/978-1-4757-2765-4","Bernard Flury","1997","http://link.springer.com/book/10.1007/978-1-4757-2765-4","Book"
"Probability and Statistical Inference","Springer Texts in Statistics","","","","10.1007/978-1-4612-1096-2","J. G. Kalbfleisch","1985","http://link.springer.com/book/10.1007/978-1-4612-1096-2","Book"
"Fundamentals of Mathematical Statistics","Springer Texts in Statistics","","","","10.1007/978-1-4612-1013-9","Hung T. NguyenGerald S. Rogers","1989","http://link.springer.com/book/10.1007/978-1-4612-1013-9","Book"
"All of Statistics","Springer Texts in Statistics","","","","10.1007/978-0-387-21736-9","Larry Wasserman","2004","http://link.springer.com/book/10.1007/978-0-387-21736-9","Book"
"Monte Carlo Statistical Methods","Springer Texts in Statistics","","","","10.1007/978-1-4757-4145-2","Christian P. RobertGeorge Casella","2004","http://link.springer.com/book/10.1007/978-1-4757-4145-2","Book"
"Applying and Interpreting Statistics","Springer Texts in Statistics","","","","10.1007/978-1-4757-3435-5","Glen McPherson","2001","http://link.springer.com/book/10.1007/978-1-4757-3435-5","Book"
"Large Sample Techniques for Statistics","Springer Texts in Statistics","","","","10.1007/978-1-4419-6827-2","Jiming Jiang","2010","http://link.springer.com/book/10.1007/978-1-4419-6827-2","Book"
"An Intermediate Course in Probability","Springer Texts in Statistics","","","","10.1007/978-1-4419-0162-0","Allan Gut","2009","http://link.springer.com/book/10.1007/978-1-4419-0162-0","Book"
"Applied Probability","Springer Texts in Statistics","","","","10.1007/b98849","Kenneth Lange","2003","http://link.springer.com/book/10.1007/b98849","Book"
"Introduction to Modeling and Analysis of Stochastic Systems","Springer Texts in Statistics","","","","10.1007/978-1-4419-1772-0","V. G. Kulkarni","2011","http://link.springer.com/book/10.1007/978-1-4419-1772-0","Book"
"Optimization","Springer Texts in Statistics","","","","10.1007/978-1-4614-5838-8","Kenneth Lange","2013","http://link.springer.com/book/10.1007/978-1-4614-5838-8","Book"
"Statistics for Lawyers","Springer Texts in Statistics","","","","10.1007/978-1-4612-3328-2","Michael O. FinkelsteinBruce Levin","1990","http://link.springer.com/book/10.1007/978-1-4612-3328-2","Book"
"Probability via Expectation","Springer Texts in Statistics","","","","10.1007/978-1-4612-0509-8","Peter Whittle","2000","http://link.springer.com/book/10.1007/978-1-4612-0509-8","Book"
"Applied Mathematical Demography","Springer Texts in Statistics","","","","10.1007/978-1-4757-1879-9","Nathan Keyfitz","1985","http://link.springer.com/book/10.1007/978-1-4757-1879-9","Book"
"Statistical Analysis and Data Display","Springer Texts in Statistics","","","","10.1007/978-1-4757-4284-8","Richard M. HeibergerBurt Holland","2004","http://link.springer.com/book/10.1007/978-1-4757-4284-8","Book"
"Plane Answers to Complex Questions","Springer Texts in Statistics","","","","10.1007/978-1-4757-2477-6","Ronald Christensen","1996","http://link.springer.com/book/10.1007/978-1-4757-2477-6","Book"
"Theoretical Statistics","Springer Texts in Statistics","","","","10.1007/978-0-387-93839-4","Robert W. Keener","2010","http://link.springer.com/book/10.1007/978-0-387-93839-4","Book"
"Applying Generalized Linear Models","Springer Texts in Statistics","","","","10.1007/b98856","James K. Lindsey","1997","http://link.springer.com/book/10.1007/b98856","Book"
"Applied Multivariate Data Analysis","Springer Texts in Statistics","","","","10.1007/978-1-4612-0921-8","J. D. Jobson","1992","http://link.springer.com/book/10.1007/978-1-4612-0921-8","Book"
"Essentials of Stochastic Processes","Springer Texts in Statistics","","","","10.1007/978-1-4614-3615-7","Richard Durrett","2012","http://link.springer.com/book/10.1007/978-1-4614-3615-7","Book"
"Modern Mathematical Statistics with Applications","Springer Texts in Statistics","","","","10.1007/978-1-4614-0391-3","Jay L. DevoreKenneth N. Berk","2012","http://link.springer.com/book/10.1007/978-1-4614-0391-3","Book"
"Linear Models for Multivariate, Time Series, and Spatial Data","Springer Texts in Statistics","","","","10.1007/978-1-4757-4103-2","Ronald Christensen","1991","http://link.springer.com/book/10.1007/978-1-4757-4103-2","Book"
"The Bayesian Choice","Springer Texts in Statistics","","","","10.1007/978-1-4757-4314-2","Christian P. Robert","1994","http://link.springer.com/book/10.1007/978-1-4757-4314-2","Book"
"Analysis of Variance in Experimental Design","Springer Texts in Statistics","","","","10.1007/978-1-4613-9722-9","Harold R. Lindman","1992","http://link.springer.com/book/10.1007/978-1-4613-9722-9","Book"
"Introduction to Statistics","Springer Texts in Statistics","","","","10.1007/978-1-4612-0943-0","Gottfried E. Noether","1991","http://link.springer.com/book/10.1007/978-1-4612-0943-0","Book"
"Probability and Statistics","Springer Texts in Statistics","","","","10.1007/978-1-4612-3566-8","Gunnar Blom","1989","http://link.springer.com/book/10.1007/978-1-4612-3566-8","Book"
"Probability for Applications","Springer Texts in Statistics","","","","10.1007/978-1-4615-7676-1","Paul E. Pfeiffer","1990","http://link.springer.com/book/10.1007/978-1-4615-7676-1","Book"
"Log-Linear Models","Springer Texts in Statistics","","","","10.1007/978-1-4757-4111-7","Ronald Christensen","1990","http://link.springer.com/book/10.1007/978-1-4757-4111-7","Book"
"Statistics in Scientific Investigation","Springer Texts in Statistics","","","","10.1007/978-1-4757-4290-9","Glen McPherson","1990","http://link.springer.com/book/10.1007/978-1-4757-4290-9","Book"
"Introduction to Statistical Inference","Springer Texts in Statistics","","","","10.1007/978-1-4613-9578-2","Gary Lorden","1987","http://link.springer.com/book/10.1007/978-1-4613-9578-2","Book"
"Advanced Linear Modeling","Springer Texts in Statistics","","","","10.1007/978-1-4757-3847-6","Ronald Christensen","2001","http://link.springer.com/book/10.1007/978-1-4757-3847-6","Book"
"Introduction to Time Series and Forecasting","Springer Texts in Statistics","","","","10.1007/978-1-4757-2526-1","Peter J. BrockwellRichard A. Davis","1996","http://link.springer.com/book/10.1007/978-1-4757-2526-1","Book"
"Probability Theory","Springer Texts in Statistics","","","","10.1007/978-1-4684-0504-0","Yuan Shih ChowHenry Teicher","1988","http://link.springer.com/book/10.1007/978-1-4684-0504-0","Book"
