Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Numerical Methods for Partial Differential Equations","Springer Undergraduate Mathematics Series","","","","10.1007/978-1-4471-0377-6","Gwynne A. Evans MA, Dphil, DScJonathan M. Blackledge BSc, PhD, DICPeter D. Yardley BSc, PhD","2000","http://link.springer.com/book/10.1007/978-1-4471-0377-6","Book"
"Fields, Flows and Waves","Springer Undergraduate Mathematics Series","","","","10.1007/978-1-4471-0019-5","David F. Parker MA, PhD, FRSE","2003","http://link.springer.com/book/10.1007/978-1-4471-0019-5","Book"
"A First Course in Discrete Mathematics","Springer Undergraduate Mathematics Series","","","","10.1007/978-0-85729-315-2","Ian Anderson MA, PhD","2002","http://link.springer.com/book/10.1007/978-0-85729-315-2","Book"
"Derivative Pricing in Discrete Time","Springer Undergraduate Mathematics Series","","","","10.1007/978-1-4471-4408-3","Nigel J. CutlandAlet Roux","2013","http://link.springer.com/book/10.1007/978-1-4471-4408-3","Book"
"Essential Mathematical Biology","Springer Undergraduate Mathematics Series","","","","10.1007/978-1-4471-0049-2","Nicholas Ferris Britton MA, DPhil","2003","http://link.springer.com/book/10.1007/978-1-4471-0049-2","Book"
"Further Linear Algebra","Springer Undergraduate Mathematics Series","","","","10.1007/978-1-4471-0661-6","Professor T. S. BlythProfessor E. F. Robertson","2002","http://link.springer.com/book/10.1007/978-1-4471-0661-6","Book"
"Probability Models","Springer Undergraduate Mathematics Series","","","","10.1007/978-1-4471-0169-7","John Haigh MA, PhD","2002","http://link.springer.com/book/10.1007/978-1-4471-0169-7","Book"
"Matrix Groups","Springer Undergraduate Mathematics Series","","","","10.1007/978-1-4471-0183-3","Andrew Baker BSc, PhD","2002","http://link.springer.com/book/10.1007/978-1-4471-0183-3","Book"
"Topics in Group Theory","Springer Undergraduate Mathematics Series","","","","10.1007/978-1-4471-0461-2","Geoff C. Smith MA, MSc, PhDOlga M. Tabachnikova PhD","2000","http://link.springer.com/book/10.1007/978-1-4471-0461-2","Book"
"Hyperbolic Geometry","Springer Undergraduate Mathematics Series","","","","10.1007/978-1-4471-3987-4","James W. Anderson PhD","1999","http://link.springer.com/book/10.1007/978-1-4471-3987-4","Book"
"Elementary Number Theory","Springer Undergraduate Mathematics Series","","","","10.1007/978-1-4471-0613-5","Gareth A. Jones MA, DPhilJ. Mary Jones MA, DPhil","1998","http://link.springer.com/book/10.1007/978-1-4471-0613-5","Book"
"Elementary Differential Geometry","Springer Undergraduate Mathematics Series","","","","10.1007/978-1-4471-3696-5","Andrew Pressley","2001","http://link.springer.com/book/10.1007/978-1-4471-3696-5","Book"
"Regression","Springer Undergraduate Mathematics Series","","","","10.1007/978-1-84882-969-5","N. H. BinghamJohn M. Fry","2010","http://link.springer.com/book/10.1007/978-1-84882-969-5","Book"
"Measure, Integral and Probability","Springer Undergraduate Mathematics Series","","","","10.1007/978-1-4471-0645-6","Marek Capiński PhDPeter Ekkehard Kopp DPhil","2004","http://link.springer.com/book/10.1007/978-1-4471-0645-6","Book"
"Finitely Generated Abelian Groups and Similarity of Matrices over a Field","Springer Undergraduate Mathematics Series","","","","10.1007/978-1-4471-2730-7","Christopher Norman","2012","http://link.springer.com/book/10.1007/978-1-4471-2730-7","Book"
"Basic Linear Algebra","Springer Undergraduate Mathematics Series","","","","10.1007/978-1-4471-3496-1","Professor Thomas S. BlythProfessor Edmund F. Robertson","1998","http://link.springer.com/book/10.1007/978-1-4471-3496-1","Book"
"Basic Stochastic Processes","Springer Undergraduate Mathematics Series","","","","10.1007/978-1-4471-0533-6","Zdzisław BrzeźniakTomasz Zastawniak","1999","http://link.springer.com/book/10.1007/978-1-4471-0533-6","Book"
"Sets, Logic and Categories","Springer Undergraduate Mathematics Series","","","","10.1007/978-1-4471-0589-3","Peter J. Cameron BSc, MA, D.Phil","1998","http://link.springer.com/book/10.1007/978-1-4471-0589-3","Book"
"Probability Models","Springer Undergraduate Mathematics Series","","","","10.1007/978-1-4471-5343-6","John Haigh","2013","http://link.springer.com/book/10.1007/978-1-4471-5343-6","Book"
"Vector Calculus","Springer Undergraduate Mathematics Series","","","","10.1007/978-1-4471-0597-8","Paul C. Matthews PhD","1998","http://link.springer.com/book/10.1007/978-1-4471-0597-8","Book"
