Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Lectures on Gaussian Processes","SpringerBriefs in Mathematics","","","","10.1007/978-3-642-24939-6","Mikhail Lifshits","2012","http://link.springer.com/book/10.1007/978-3-642-24939-6","Book"
"An Introduction to Inverse Limits with Set-valued Functions","SpringerBriefs in Mathematics","","","","10.1007/978-1-4614-4487-9","W.T. Ingram","2012","http://link.springer.com/book/10.1007/978-1-4614-4487-9","Book"
"On the Higher-Order Sheffer Orthogonal Polynomial Sequences","SpringerBriefs in Mathematics","","","","10.1007/978-1-4614-5969-9","Daniel J. Galiffa","2013","http://link.springer.com/book/10.1007/978-1-4614-5969-9","Book"
"Advances on Fractional Inequalities","SpringerBriefs in Mathematics","","","","10.1007/978-1-4614-0703-4","George A. Anastassiou","2011","http://link.springer.com/book/10.1007/978-1-4614-0703-4","Book"
"Graphs on Surfaces","SpringerBriefs in Mathematics","","","","10.1007/978-1-4614-6971-1","Joanna A. Ellis-MonaghanIain Moffatt","2013","http://link.springer.com/book/10.1007/978-1-4614-6971-1","Book"
"Inequalities Based on Sobolev Representations","SpringerBriefs in Mathematics","","","","10.1007/978-1-4614-0201-5","George A. Anastassiou","2011","http://link.springer.com/book/10.1007/978-1-4614-0201-5","Book"
"Topics in Extrinsic Geometry of Codimension-One Foliations","SpringerBriefs in Mathematics","","","","10.1007/978-1-4419-9908-5","Vladimir RovenskiPaweł Walczak","2011","http://link.springer.com/book/10.1007/978-1-4419-9908-5","Book"
"From Kinetic Models to Hydrodynamics","SpringerBriefs in Mathematics","","","","10.1007/978-1-4614-6306-1","Matteo Colangeli","2013","http://link.springer.com/book/10.1007/978-1-4614-6306-1","Book"
"Operator Inequalities of Ostrowski and Trapezoidal Type","SpringerBriefs in Mathematics","","","","10.1007/978-1-4614-1779-8","Silvestru Sever Dragomir","2012","http://link.springer.com/book/10.1007/978-1-4614-1779-8","Book"
"Rainbow Connections of Graphs","SpringerBriefs in Mathematics","","","","10.1007/978-1-4614-3119-0","Xueliang LiYuefang Sun","2012","http://link.springer.com/book/10.1007/978-1-4614-3119-0","Book"
"Operator Inequalities of the Jensen, Čebyšev and Grüss Type","SpringerBriefs in Mathematics","","","","10.1007/978-1-4614-1521-3","Silvestru Sever Dragomir","2012","http://link.springer.com/book/10.1007/978-1-4614-1521-3","Book"
"Approximation by Multivariate Singular Integrals","SpringerBriefs in Mathematics","","","","10.1007/978-1-4614-0589-4","George A. Anastassiou","2011","http://link.springer.com/book/10.1007/978-1-4614-0589-4","Book"
"Analyzing Markov Chains using Kronecker Products","SpringerBriefs in Mathematics","","","","10.1007/978-1-4614-4190-8","Tuğrul Dayar","2012","http://link.springer.com/book/10.1007/978-1-4614-4190-8","Book"
"Drinfeld Moduli Schemes and Automorphic Forms","SpringerBriefs in Mathematics","","","","10.1007/978-1-4614-5888-3","Yuval Z. Flicker","2013","http://link.springer.com/book/10.1007/978-1-4614-5888-3","Book"
"The Kolmogorov-Obukhov Theory of Turbulence","SpringerBriefs in Mathematics","","","","10.1007/978-1-4614-6262-0","Bjorn Birnir","2013","http://link.springer.com/book/10.1007/978-1-4614-6262-0","Book"
"Hypernumbers and Extrafunctions","SpringerBriefs in Mathematics","","","","10.1007/978-1-4419-9875-0","Mark Burgin","2012","http://link.springer.com/book/10.1007/978-1-4419-9875-0","Book"
"Complex Systems and Society","SpringerBriefs in Mathematics","","","","10.1007/978-1-4614-7242-1","Nicola BellomoGiulia Ajmone MarsanAndrea Tosin","2013","http://link.springer.com/book/10.1007/978-1-4614-7242-1","Book"
"Applications of Discrete-time Markov Chains and Poisson Processes to Air Pollution Modeling and Studies","SpringerBriefs in Mathematics","","","","10.1007/978-1-4614-4645-3","Eliane Regina RodriguesJorge Alberto Achcar","2013","http://link.springer.com/book/10.1007/978-1-4614-4645-3","Book"
"System Identification Using Regular and Quantized Observations","SpringerBriefs in Mathematics","","","","10.1007/978-1-4614-6292-7","Qi HeLe Yi WangG. George Yin","2013","http://link.springer.com/book/10.1007/978-1-4614-6292-7","Book"
"An Introduction to Ultrametric Summability Theory","SpringerBriefs in Mathematics","","","","10.1007/978-81-322-1647-6","P.N. Natarajan","2014","http://link.springer.com/book/10.1007/978-81-322-1647-6","Book"
"Lectures on Finitely Generated Solvable Groups","SpringerBriefs in Mathematics","","","","10.1007/978-1-4614-5450-2","Katalin A. BencsathMarianna C. BonanomeMargaret H. DeanMarcos Zyman","2013","http://link.springer.com/book/10.1007/978-1-4614-5450-2","Book"
"Applied Summability Methods","SpringerBriefs in Mathematics","","","","10.1007/978-3-319-04609-9","M. Mursaleen","2014","http://link.springer.com/book/10.1007/978-3-319-04609-9","Book"
"Set Operads in Combinatorics and Computer Science","SpringerBriefs in Mathematics","","","","10.1007/978-3-319-11713-3","Miguel A. Méndez","2015","http://link.springer.com/book/10.1007/978-3-319-11713-3","Book"
"Numerical Approximation of Exact Controls for Waves","SpringerBriefs in Mathematics","","","","10.1007/978-1-4614-5808-1","Sylvain ErvedozaEnrique Zuazua","2013","http://link.springer.com/book/10.1007/978-1-4614-5808-1","Book"
"Spectral Mapping Theorems","SpringerBriefs in Mathematics","","","","10.1007/978-3-319-05648-7","Robin Harte","2014","http://link.springer.com/book/10.1007/978-3-319-05648-7","Book"
"An Introduction to Quasisymmetric Schur Functions","SpringerBriefs in Mathematics","","","","10.1007/978-1-4614-7300-8","Kurt LuotoStefan MykytiukStephanie van Willigenburg","2013","http://link.springer.com/book/10.1007/978-1-4614-7300-8","Book"
"Continuous Average Control of Piecewise Deterministic Markov Processes","SpringerBriefs in Mathematics","","","","10.1007/978-1-4614-6983-4","Oswaldo Luiz do Valle CostaFrancois Dufour","2013","http://link.springer.com/book/10.1007/978-1-4614-6983-4","Book"
