Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Interactive LISREL in Practice","SpringerBriefs in Statistics","","","","10.1007/978-3-642-18044-6","Armando Luis Vieira","2011","http://link.springer.com/book/10.1007/978-3-642-18044-6","Book"
"Optimal Experimental Design for Non-Linear Models","SpringerBriefs in Statistics","","","","10.1007/978-3-642-45287-1","Christos P. Kitsos","2013","http://link.springer.com/book/10.1007/978-3-642-45287-1","Book"
"Statistical Inference for Discrete Time Stochastic Processes","SpringerBriefs in Statistics","","","","10.1007/978-81-322-0763-4","M. B. Rajarshi","2013","http://link.springer.com/book/10.1007/978-81-322-0763-4","Book"
"Restricted Kalman Filtering","SpringerBriefs in Statistics","","","","10.1007/978-1-4614-4738-2","Adrian Pizzinga","2012","http://link.springer.com/book/10.1007/978-1-4614-4738-2","Book"
"Machine Learning in Medicine - Cookbook","SpringerBriefs in Statistics","","","","10.1007/978-3-319-04181-0","Ton J. CleophasAeilko H. Zwinderman","2014","http://link.springer.com/book/10.1007/978-3-319-04181-0","Book"
"Adaptive Sampling Designs","SpringerBriefs in Statistics","","","","10.1007/978-3-642-33657-7","George A.F. SeberMohammad M. Salehi","2013","http://link.springer.com/book/10.1007/978-3-642-33657-7","Book"
"Machine Learning in Medicine - Cookbook Two","SpringerBriefs in Statistics","","","","10.1007/978-3-319-07413-9","Ton J. CleophasAeilko H. Zwinderman","2014","http://link.springer.com/book/10.1007/978-3-319-07413-9","Book"
"Unobserved Variables","SpringerBriefs in Statistics","","","","10.1007/978-3-642-39912-1","David J. Bartholomew","2013","http://link.springer.com/book/10.1007/978-3-642-39912-1","Book"
"Optimal Stochastic Control Schemes within a Structural Reliability Framework","SpringerBriefs in Statistics","","","","10.1007/978-3-319-01405-0","Bernt J. Leira","2013","http://link.springer.com/book/10.1007/978-3-319-01405-0","Book"
"Statistical Models for Proportions and Probabilities","SpringerBriefs in Statistics","","","","10.1007/978-3-642-39041-8","George A.F. Seber","2013","http://link.springer.com/book/10.1007/978-3-642-39041-8","Book"
"SPSS for Starters, Part 2","SpringerBriefs in Statistics","","","","10.1007/978-94-007-4804-0","Ton J. CleophasAeilko H. Zwinderman","2012","http://link.springer.com/book/10.1007/978-94-007-4804-0","Book"
"L1-Norm and L∞-Norm Estimation","SpringerBriefs in Statistics","","","","10.1007/978-3-642-36300-9","Richard William Farebrother","2013","http://link.springer.com/book/10.1007/978-3-642-36300-9","Book"
"Introduction to Data Analysis and Graphical Presentation in Biostatistics with R","SpringerBriefs in Statistics","","","","10.1007/978-3-319-02532-2","Thomas W. MacFarland","2014","http://link.springer.com/book/10.1007/978-3-319-02532-2","Book"
"Permutation Tests in Shape Analysis","SpringerBriefs in Statistics","","","","10.1007/978-1-4614-8163-8","LUIGI SALMASOChiara Brombin","2013","http://link.springer.com/book/10.1007/978-1-4614-8163-8","Book"
"Renewal Processes","SpringerBriefs in Statistics","","","","10.1007/978-3-319-05855-9","Kosto V. MitovEdward Omey","2014","http://link.springer.com/book/10.1007/978-3-319-05855-9","Book"
"Singular Spectrum Analysis for Time Series","SpringerBriefs in Statistics","","","","10.1007/978-3-642-34913-3","Nina GolyandinaAnatoly Zhigljavsky","2013","http://link.springer.com/book/10.1007/978-3-642-34913-3","Book"
"Generalized Hyperbolic Secant Distributions","SpringerBriefs in Statistics","","","","10.1007/978-3-642-45138-6","Matthias J. Fischer","2014","http://link.springer.com/book/10.1007/978-3-642-45138-6","Book"
"The Naïve Bayes Model for Unsupervised Word Sense Disambiguation","SpringerBriefs in Statistics","","","","10.1007/978-3-642-33693-5","Florentina T. Hristea","2013","http://link.springer.com/book/10.1007/978-3-642-33693-5","Book"
"Telegraph Processes and Option Pricing","SpringerBriefs in Statistics","","","","10.1007/978-3-642-40526-6","Alexander D. KolesnikNikita Ratanov","2013","http://link.springer.com/book/10.1007/978-3-642-40526-6","Book"
"An Introduction to Bartlett Correction and Bias Reduction","SpringerBriefs in Statistics","","","","10.1007/978-3-642-55255-7","Gauss M. CordeiroFrancisco Cribari-Neto","2014","http://link.springer.com/book/10.1007/978-3-642-55255-7","Book"
"Handling Missing Data in Ranked Set Sampling","SpringerBriefs in Statistics","","","","10.1007/978-3-642-39899-5","Carlos N. Bouza-Herrera","2013","http://link.springer.com/book/10.1007/978-3-642-39899-5","Book"
"Student’s t-Distribution and Related Stochastic Processes","SpringerBriefs in Statistics","","","","10.1007/978-3-642-31146-8","Bronius Grigelionis","2013","http://link.springer.com/book/10.1007/978-3-642-31146-8","Book"
"Software Reliability Modeling","SpringerBriefs in Statistics","","","","10.1007/978-4-431-54565-1","Shigeru Yamada","2014","http://link.springer.com/book/10.1007/978-4-431-54565-1","Book"
"A Concise Guide to Statistics","SpringerBriefs in Statistics","","","","10.1007/978-3-642-23502-3","Hans-Michael Kaltenbach","2012","http://link.springer.com/book/10.1007/978-3-642-23502-3","Book"
"Generalized Weibull Distributions","SpringerBriefs in Statistics","","","","10.1007/978-3-642-39106-4","Chin-Diew Lai","2014","http://link.springer.com/book/10.1007/978-3-642-39106-4","Book"
"Machine Learning in Medicine - Cookbook Three","SpringerBriefs in Statistics","","","","10.1007/978-3-319-12163-5","Ton J. CleophasAeilko H. Zwinderman","2014","http://link.springer.com/book/10.1007/978-3-319-12163-5","Book"
"Statistical Decision Theory","SpringerBriefs in Statistics","","","","10.1007/978-3-642-40433-7","Nicholas T. Longford","2013","http://link.springer.com/book/10.1007/978-3-642-40433-7","Book"
"Two-Way Analysis of Variance","SpringerBriefs in Statistics","","","","10.1007/978-1-4614-2134-4","Thomas W. MacFarland","2012","http://link.springer.com/book/10.1007/978-1-4614-2134-4","Book"
"Lévy Processes and Their Applications in Reliability and Storage","SpringerBriefs in Statistics","","","","10.1007/978-3-642-40075-9","Mohamed Abdel-Hameed","2014","http://link.springer.com/book/10.1007/978-3-642-40075-9","Book"
"Penalty, Shrinkage and Pretest Strategies","SpringerBriefs in Statistics","","","","10.1007/978-3-319-03149-1","S. Ejaz Ahmed","2014","http://link.springer.com/book/10.1007/978-3-319-03149-1","Book"
"A Tiny Handbook of R","SpringerBriefs in Statistics","","","","10.1007/978-3-642-17980-8","Mike Allerhand","2011","http://link.springer.com/book/10.1007/978-3-642-17980-8","Book"
"A Multiple-Testing Approach to the Multivariate Behrens-Fisher Problem","SpringerBriefs in Statistics","","","","10.1007/978-1-4614-6443-3","Tejas Desai","2013","http://link.springer.com/book/10.1007/978-1-4614-6443-3","Book"
"The Significance Test Controversy Revisited","SpringerBriefs in Statistics","","","","10.1007/978-3-662-44046-9","Bruno LecoutreJacques Poitevineau","2014","http://link.springer.com/book/10.1007/978-3-662-44046-9","Book"
"Strategic Economic Decision-Making","SpringerBriefs in Statistics","","","","10.1007/978-1-4614-6040-4","Jeff Grover","2013","http://link.springer.com/book/10.1007/978-1-4614-6040-4","Book"
"Statistical Analysis of Clinical Data on a Pocket Calculator, Part 2","SpringerBriefs in Statistics","","","","10.1007/978-94-007-4704-3","Ton J. CleophasAeilko H. Zwinderman","2012","http://link.springer.com/book/10.1007/978-94-007-4704-3","Book"
"Multivariate Statistical Quality Control Using R","SpringerBriefs in Statistics","","","","10.1007/978-1-4614-5453-3","Edgar Santos-Fernández","2013","http://link.springer.com/book/10.1007/978-1-4614-5453-3","Book"
"Person-Centered Methods","SpringerBriefs in Statistics","","","","10.1007/978-3-319-05536-7","Mark Stemmler","2014","http://link.springer.com/book/10.1007/978-3-319-05536-7","Book"
"The Borel-Cantelli Lemma","SpringerBriefs in Statistics","","","","10.1007/978-81-322-0677-4","Tapas Kumar Chandra","2012","http://link.springer.com/book/10.1007/978-81-322-0677-4","Book"
"Statistical Approaches to Orofacial Pain and Temporomandibular Disorders Research","SpringerBriefs in Statistics","","","","10.1007/978-1-4939-0876-9","Daniele ManfrediniRosa ArborettiLuca Guarda NardiniEleonora CarrozzoLuigi Salmaso","2014","http://link.springer.com/book/10.1007/978-1-4939-0876-9","Book"
"Applied Multidimensional Scaling","SpringerBriefs in Statistics","","","","10.1007/978-3-642-31848-1","Ingwer BorgPatrick J. F. GroenenPatrick Mair","2013","http://link.springer.com/book/10.1007/978-3-642-31848-1","Book"
"Permutation Testing for Isotonic Inference on Association Studies in Genetics","SpringerBriefs in Statistics","","","","10.1007/978-3-642-20584-2","Luigi SalmasoRosa ArborettiLivio CorainDario Mazzaro","2011","http://link.springer.com/book/10.1007/978-3-642-20584-2","Book"
"Statistical Signal Processing","SpringerBriefs in Statistics","","","","10.1007/978-81-322-0628-6","Debasis KunduSwagata Nandi","2012","http://link.springer.com/book/10.1007/978-81-322-0628-6","Book"
"Long-Range Dependence and Sea Level Forecasting","SpringerBriefs in Statistics","","","","10.1007/978-3-319-01505-7","Ali ErcanM. Levent KavvasRovshan K. Abbasov","2013","http://link.springer.com/book/10.1007/978-3-319-01505-7","Book"
"Statistical Inference for Financial Engineering","SpringerBriefs in Statistics","","","","10.1007/978-3-319-03497-3","Masanobu TaniguchiTomoyuki AmanoHiroaki OgataHiroyuki Taniai","2014","http://link.springer.com/book/10.1007/978-3-319-03497-3","Book"
"Formulas Useful for Linear Regression Analysis and Related Matrix Theory","SpringerBriefs in Statistics","","","","10.1007/978-3-642-32931-9","Simo PuntanenGeorge P. H. StyanJarkko Isotalo","2013","http://link.springer.com/book/10.1007/978-3-642-32931-9","Book"
