Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Statistical Models for Data Analysis","Studies in Classification, Data Analysis, and Knowledge Organization","","","","10.1007/978-3-319-00032-9","Paolo GiudiciSalvatore IngrassiaMaurizio Vichi","2013","http://link.springer.com/book/10.1007/978-3-319-00032-9","Book"
"Classification and Information Processing at the Turn of the Millennium","Studies in Classification, Data Analysis, and Knowledge Organization","","","","10.1007/978-3-642-57280-7","Professor Dr. Reinhold DeckerProfessor Dr. Wolfgang Gaul","2000","http://link.springer.com/book/10.1007/978-3-642-57280-7","Book"
"Classification and Multivariate Analysis for Complex Data Structures","Studies in Classification, Data Analysis, and Knowledge Organization","","","","10.1007/978-3-642-13312-1","Bernard FichetDomenico PiccoloRosanna VerdeMaurizio Vichi","2011","http://link.springer.com/book/10.1007/978-3-642-13312-1","Book"
"Classification in the Information Age","Studies in Classification, Data Analysis, and Knowledge Organization","","","","10.1007/978-3-642-60187-3","Prof. Dr. Wolfgang GaulProf. Dr. Hermann Locarek-Junge","1999","http://link.springer.com/book/10.1007/978-3-642-60187-3","Book"
"From Data to Knowledge","Studies in Classification, Data Analysis, and Knowledge Organization","","","","10.1007/978-3-642-79999-0","Professor Dr. Wolfgang GaulProfessor Dr. Dietmar Pfeifer","1996","http://link.springer.com/book/10.1007/978-3-642-79999-0","Book"
"Classification as a Tool for Research","Studies in Classification, Data Analysis, and Knowledge Organization","","","","10.1007/978-3-642-10745-0","Hermann Locarek-JungeClaus Weihs","2010","http://link.springer.com/book/10.1007/978-3-642-10745-0","Book"
"Cooperation in Classification and Data Analysis","Studies in Classification, Data Analysis, and Knowledge Organization","","","","10.1007/978-3-642-00668-5","Wolfgang GaulHans-Hermann BockTadashi ImaizumiAkinori Okada","2009","http://link.springer.com/book/10.1007/978-3-642-00668-5","Book"
"Classification, Data Analysis, and Data Highways","Studies in Classification, Data Analysis, and Knowledge Organization","","","","10.1007/978-3-642-72087-1","Professor Dr. Ingo BalderjahnProfessor Dr. Rudolf MatharProfessor Dr. Martin Schader","1998","http://link.springer.com/book/10.1007/978-3-642-72087-1","Book"
"Classification and Data Analysis","Studies in Classification, Data Analysis, and Knowledge Organization","","","","10.1007/978-3-642-60126-2","Prof. Maurizio VichiProf. Dr. Otto Opitz","1999","http://link.springer.com/book/10.1007/978-3-642-60126-2","Book"
"Advances in Data Science and Classification","Studies in Classification, Data Analysis, and Knowledge Organization","","","","10.1007/978-3-642-72253-0","Professor Alfredo RizziProfessor Maurizio VichiProfessor Dr. Hans-Hermann Bock","1998","http://link.springer.com/book/10.1007/978-3-642-72253-0","Book"
"Classification, Data Analysis, and Knowledge Organization","Studies in Classification, Data Analysis, and Knowledge Organization","","","","10.1007/978-3-642-76307-6","Professor Dr. Hans-Hermann BockProfessor Dr. Peter Ihm","1991","http://link.springer.com/book/10.1007/978-3-642-76307-6","Book"
"Classification, Clustering, and Data Analysis","Studies in Classification, Data Analysis, and Knowledge Organization","","","","10.1007/978-3-642-56181-8","Prof. Krzysztof JajugaProf. Andrzej SokołowskiProf. Hans-Hermann Bock","2002","http://link.springer.com/book/10.1007/978-3-642-56181-8","Book"
"Information and Classification","Studies in Classification, Data Analysis and Knowledge Organization","","","","10.1007/978-3-642-50974-2","Prof. Dr. Otto OpitzDr. Berthold LausenProf. Dr. Rüdiger Klar","1993","http://link.springer.com/book/10.1007/978-3-642-50974-2","Book"
"Analysis of Symbolic Data","Studies in Classification, Data Analysis, and Knowledge Organization","","","","10.1007/978-3-642-57155-8","Prof. Dr. Hans-Hermann BockProf. Edwin Diday","2000","http://link.springer.com/book/10.1007/978-3-642-57155-8","Book"
"Between Data Science and Applied Data Analysis","Studies in Classification, Data Analysis, and Knowledge Organization","","","","10.1007/978-3-642-18991-3","Prof. Dr. Martin SchaderProf. Dr. Wolfgang GaulProf. Maurizio Vichi","2003","http://link.springer.com/book/10.1007/978-3-642-18991-3","Book"
"Advances in Multivariate Data Analysis","Studies in Classification, Data Analysis, and Knowledge Organization","","","","10.1007/978-3-642-17111-6","Prof. Dr. Hans-Hermann BockProf. Marcello ChiodiProf. Antonino Mineo","2004","http://link.springer.com/book/10.1007/978-3-642-17111-6","Book"
"Classification and Knowledge Organization","Studies in Classification, Data Analysis, and Knowledge Organization","","","","10.1007/978-3-642-59051-1","Prof. Dr. Rüdiger KlarProf. Dr. Otto Opitz","1997","http://link.springer.com/book/10.1007/978-3-642-59051-1","Book"
"Data Analysis","Studies in Classification, Data Analysis, and Knowledge Organization","","","","10.1007/978-3-642-58250-9","Professor Dr. Wolfgang GaulProfessor Dr. Otto OpitzProfessor Dr. Martin Schader","2000","http://link.springer.com/book/10.1007/978-3-642-58250-9","Book"
"Classification and Data Mining","Studies in Classification, Data Analysis, and Knowledge Organization","","","","10.1007/978-3-642-28894-4","Antonio GiustiGunter RitterMaurizio Vichi","2013","http://link.springer.com/book/10.1007/978-3-642-28894-4","Book"
"Data Science, Classification, and Related Methods","Studies in Classification, Data Analysis, and Knowledge Organization","","","","10.1007/978-4-431-65950-1","Prof. Emeritus Chikio HayashiProf. Keiji YajimaProf. Hans-Hermann BockProf. Noboru OhsumiProf. Yutaka TanakaProf. Yasumasa Baba","1998","http://link.springer.com/book/10.1007/978-4-431-65950-1","Book"
"Data Analysis and Information Systems","Studies in Classification, Data Analysis, and Knowledge Organization","","","","10.1007/978-3-642-80098-6","Prof. Dr. Hans-Hermann BockProf. Dr. Wolfgang Polasek","1996","http://link.springer.com/book/10.1007/978-3-642-80098-6","Book"
"Analyzing and Modeling Data and Knowledge","Studies in Classification, Data Analysis, and Knowledge Organization","","","","10.1007/978-3-642-46757-8","Professor Dr. Martin Schader","1992","http://link.springer.com/book/10.1007/978-3-642-46757-8","Book"
"Advances in Classification and Data Analysis","Studies in Classification, Data Analysis, and Knowledge Organization","","","","10.1007/978-3-642-59471-7","Dr. Simone BorraProfessor Roberto RocciProfessor Maurizio VichiProfessor Dr. Martin Schader","2001","http://link.springer.com/book/10.1007/978-3-642-59471-7","Book"
"Data Analysis and Classification","Studies in Classification, Data Analysis, and Knowledge Organization","","","","10.1007/978-3-642-03739-9","Francesco PalumboCarlo Natale LauroMichael J. Greenacre","2010","http://link.springer.com/book/10.1007/978-3-642-03739-9","Book"
"Classification, Automation, and New Media","Studies in Classification, Data Analysis, and Knowledge Organization","","","","10.1007/978-3-642-55991-4","Professor Dr. Wolfgang GaulProfessor Dr. Gunter Ritter","2002","http://link.springer.com/book/10.1007/978-3-642-55991-4","Book"
"New Approaches in Classification and Data Analysis","Studies in Classification, Data Analysis, and Knowledge Organization","","","","10.1007/978-3-642-51175-2","Prof. Edwin DidayProf. Yves LechevallierProf. Dr. Martin SchaderProf. Patrice BertrandDr. Bernard Burtschy","1994","http://link.springer.com/book/10.1007/978-3-642-51175-2","Book"
"Exploratory Data Analysis in Empirical Research","Studies in Classification, Data Analysis, and Knowledge Organization","","","","10.1007/978-3-642-55721-7","Professor Dr. Manfred SchwaigerProfessor Dr. Otto Opitz","2003","http://link.springer.com/book/10.1007/978-3-642-55721-7","Book"
"New Perspectives in Statistical Modeling and Data Analysis","Studies in Classification, Data Analysis, and Knowledge Organization","","","","10.1007/978-3-642-11363-5","Salvatore IngrassiaRoberto RocciMaurizio Vichi","2011","http://link.springer.com/book/10.1007/978-3-642-11363-5","Book"
"Data Analysis, Classification, and Related Methods","Studies in Classification, Data Analysis, and Knowledge Organization","","","","10.1007/978-3-642-59789-3","Professor Dr. Henk A. L. KiersProfessor Dr. Jean-Paul RassonDr. Patrick J. F. GroenenProfessor Dr. Martin Schader","2000","http://link.springer.com/book/10.1007/978-3-642-59789-3","Book"
"Algorithms from and for Nature and Life","Studies in Classification, Data Analysis, and Knowledge Organization","","","","10.1007/978-3-319-00035-0","Berthold LausenDirk Van den PoelAlfred Ultsch","2013","http://link.springer.com/book/10.1007/978-3-319-00035-0","Book"
"Selected Contributions in Data Analysis and Classification","Studies in Classification, Data Analysis, and Knowledge Organization","","","","10.1007/978-3-540-73560-1","Professor Dr. Paula BritoProfessor Dr. Guy CucumelProfessor Dr. Patrice BertrandProfessor Dr. Francisco de Carvalho","2007","http://link.springer.com/book/10.1007/978-3-540-73560-1","Book"
"Advances in Data Analysis, Data Handling and Business Intelligence","Studies in Classification, Data Analysis, and Knowledge Organization","","","","10.1007/978-3-642-01044-6","Andreas FinkBerthold LausenWilfried SeidelAlfred Ultsch","2010","http://link.springer.com/book/10.1007/978-3-642-01044-6","Book"
"Classification, Clustering, and Data Mining Applications","Studies in Classification, Data Analysis, and Knowledge Organisation","","","","10.1007/978-3-642-17103-1","Dr. David BanksDr. Frederick R. McMorrisDr. Phipps ArabieProf. Dr. Wolfgang Gaul","2004","http://link.springer.com/book/10.1007/978-3-642-17103-1","Book"
"German-Japanese Interchange of Data Analysis Results","Studies in Classification, Data Analysis, and Knowledge Organization","","","","10.1007/978-3-319-01264-3","Wolfgang GaulAndreas Geyer-SchulzYasumasa BabaAkinori Okada","2014","http://link.springer.com/book/10.1007/978-3-319-01264-3","Book"
"Data Analysis, Machine Learning and Knowledge Discovery","Studies in Classification, Data Analysis, and Knowledge Organization","","","","10.1007/978-3-319-01595-8","Myra SpiliopoulouLars Schmidt-ThiemeRuth Janning","2014","http://link.springer.com/book/10.1007/978-3-319-01595-8","Book"
"Challenges at the Interface of Data Analysis, Computer Science, and Optimization","Studies in Classification, Data Analysis, and Knowledge Organization","","","","10.1007/978-3-642-24466-7","Wolfgang A. GaulAndreas Geyer-SchulzLars Schmidt-ThiemeJonas Kunze","2012","http://link.springer.com/book/10.1007/978-3-642-24466-7","Book"
"Analysis and Modeling of Complex Data in Behavioral and Social Sciences","Studies in Classification, Data Analysis, and Knowledge Organization","","","","10.1007/978-3-319-06692-9","Donatella VicariAkinori OkadaGiancarlo RagoziniClaus Weihs","2014","http://link.springer.com/book/10.1007/978-3-319-06692-9","Book"
"Information Systems and Data Analysis","Studies in Classification, Data Analysis, and Knowledge Organization","","","","10.1007/978-3-642-46808-7","Prof. Dr. Hans-Hermann BockDr. Wolfgang LenskiProf. Dr. Michael M. Richter","1994","http://link.springer.com/book/10.1007/978-3-642-46808-7","Book"
"Data Analysis, Machine Learning and Applications","Studies in Classification, Data Analysis, and Knowledge Organization","","","","10.1007/978-3-540-78246-9","Christine PreisachProfessor Dr. Hans BurkhardtProfessor Dr. Lars Schmidt-ThiemeProfessor Dr. Reinhold Decker","2008","http://link.springer.com/book/10.1007/978-3-540-78246-9","Book"
"Innovations in Classification, Data Science, and Information Systems","Studies in Classification, Data Analysis, and Knowledge Organization","","","","10.1007/b138406","Prof. Dr. Daniel BaierProf. Dr. Klaus-Dieter Wernecke","2005","http://link.springer.com/book/10.1007/b138406","Book"
"New Developments in Classification and Data Analysis","Studies in Classification, Data Analysis, and Knowledge Organization","","","","10.1007/b138989","H.-H. BockW. GaulM. VichiPh. ArabieD. BaierF. CritchleyR. DeckerE. DidayM. GreenacreC. LauroJ. MeulmanP. MonariS. NishisatoN. OhsumiO. OpitzG. RitterM. SchaderC. WeihsProfessor Maurizio VichiProfessor Paola MonariProfessor Stefania MignaniProfessor Angela Montanari","2005","http://link.springer.com/book/10.1007/b138989","Book"
"Classification — the Ubiquitous Challenge","Studies in Classification, Data Analysis, and Knowledge Organization","","","","10.1007/3-540-28084-7","Professor Dr. Claus WeihsProfessor Dr. Wolfgang Gaul","2005","http://link.springer.com/book/10.1007/3-540-28084-7","Book"
"From Data and Information Analysis to Knowledge Engineering","Studies in Classification, Data Analysis, and Knowledge Organization","","","","10.1007/3-540-31314-1","Professor Dr. Myra SpiliopoulouProfessor Dr. Rudolf KruseDr. Christian BorgeltJun.-Professor Dr. Andreas NürnbergerProfessor Dr. Wolfgang Gaul","2006","http://link.springer.com/book/10.1007/3-540-31314-1","Book"
"Data Science and Classification","Studies in Classification, Data Analysis, and Knowledge Organization","","","","10.1007/3-540-34416-0","Prof. Dr. Vladimir BatageljProf. Dr. Hans-Hermann BockProf. Dr. Anuška FerligojAleš Žiberna","2006","http://link.springer.com/book/10.1007/3-540-34416-0","Book"
"Data Analysis and Decision Support","Studies in Classification, Data Analysis, and Knowledge Organization","","","","10.1007/3-540-28397-8","Prof. Dr. Daniel BaierProf. Dr. Reinhold DeckerProf. Dr. Dr. Lars Schmidt-Thieme","2005","http://link.springer.com/book/10.1007/3-540-28397-8","Book"
