Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Primer of Modern Analysis","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4612-1144-0","Kennan T. Smith","1983","http://link.springer.com/book/10.1007/978-1-4612-1144-0","Book"
"Complex Analysis","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4419-7288-0","Joseph BakDonald J. Newman","2010","http://link.springer.com/book/10.1007/978-1-4419-7288-0","Book"
"Aspects of Calculus","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4613-9561-4","Gabriel Klambauer","1986","http://link.springer.com/book/10.1007/978-1-4613-9561-4","Book"
"Understanding Analysis","Undergraduate Texts in Mathematics","","","","10.1007/978-0-387-21506-8","Stephen Abbott","2001","http://link.springer.com/book/10.1007/978-0-387-21506-8","Book"
"An Introduction to Mathematical Cryptography","Undergraduate Texts in Mathematics","","","","10.1007/978-0-387-77993-5","J.H. SilvermanJill PipherJeffrey Hoffstein","2008","http://link.springer.com/book/10.1007/978-0-387-77993-5","Book"
"Linear Algebra Through Geometry","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4612-4390-8","Thomas BanchoffJohn Wermer","1992","http://link.springer.com/book/10.1007/978-1-4612-4390-8","Book"
"Undergraduate Analysis","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4757-2698-5","Serge Lang","1997","http://link.springer.com/book/10.1007/978-1-4757-2698-5","Book"
"A First Course in Real Analysis","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4419-8548-4","Sterling K. Berberian","1994","http://link.springer.com/book/10.1007/978-1-4419-8548-4","Book"
"Intermediate Real Analysis","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4613-9481-5","Emanuel Fischer","1983","http://link.springer.com/book/10.1007/978-1-4613-9481-5","Book"
"Topology of Surfaces","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4612-0899-0","L. Christine Kinsey","1993","http://link.springer.com/book/10.1007/978-1-4612-0899-0","Book"
"Geometric Constructions","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4612-0629-3","George E. Martin","1998","http://link.springer.com/book/10.1007/978-1-4612-0629-3","Book"
"Introduction to College Mathematics with A Programming Language","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4613-9422-8","Edward J. LeCuyer Jr.","1978","http://link.springer.com/book/10.1007/978-1-4613-9422-8","Book"
"Mathematics: A Concise History and Philosophy","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4612-0875-4","W. S. Anglin","1994","http://link.springer.com/book/10.1007/978-1-4612-0875-4","Book"
"An Introduction to Difference Equations","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4757-9168-6","Saber N. Elaydi","1996","http://link.springer.com/book/10.1007/978-1-4757-9168-6","Book"
"A Course in Point Set Topology","Undergraduate Texts in Mathematics","","","","10.1007/978-3-319-02368-7","John B. Conway","2014","http://link.springer.com/book/10.1007/978-3-319-02368-7","Book"
"Measure, Topology, and Fractal Geometry","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4757-4134-6","Gerald A. Edgar","1990","http://link.springer.com/book/10.1007/978-1-4757-4134-6","Book"
"Linear Algebra","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4612-1136-5","Charles W. Curtis","1984","http://link.springer.com/book/10.1007/978-1-4612-1136-5","Book"
"Linear Algebra","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4615-9995-1","Larry Smith","1978","http://link.springer.com/book/10.1007/978-1-4615-9995-1","Book"
"Linear Algebra","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4684-0252-0","Larry Smith","1984","http://link.springer.com/book/10.1007/978-1-4684-0252-0","Book"
"Linear Algebra Through Geometry","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4684-0161-5","Thomas BanchoffJohn Wermer","1983","http://link.springer.com/book/10.1007/978-1-4684-0161-5","Book"
"Introduction to Calculus and Classical Analysis","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4419-9488-2","Omar Hijab","2011","http://link.springer.com/book/10.1007/978-1-4419-9488-2","Book"
"Linear Algebra","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4614-3612-6","Peter Petersen","2012","http://link.springer.com/book/10.1007/978-1-4614-3612-6","Book"
"Naive Lie Theory","Undergraduate Texts in Mathematics","","","","10.1007/978-0-387-78214-0","John Stillwell","2008","http://link.springer.com/book/10.1007/978-0-387-78214-0","Book"
"Introduction to Analytic Number Theory","Undergraduate Texts in Mathematics","","","","10.1007/978-3-662-28579-4","Tom M. Apostol","1976","http://link.springer.com/book/10.1007/978-3-662-28579-4","Book"
"Methods of Mathematical Economics","Undergraduate Texts in Mathematics","","","","10.1007/978-3-662-25317-5","Joel Franklin","1980","http://link.springer.com/book/10.1007/978-3-662-25317-5","Book"
"A Brief on Tensor Analysis","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4419-8522-4","James G. Simmonds","1994","http://link.springer.com/book/10.1007/978-1-4419-8522-4","Book"
"An Accompaniment to Higher Mathematics","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4612-3998-7","George R. Exner","1996","http://link.springer.com/book/10.1007/978-1-4612-3998-7","Book"
"Variational Calculus with Elementary Convexity","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4684-0158-5","John L. Troutman","1983","http://link.springer.com/book/10.1007/978-1-4684-0158-5","Book"
"Mathematical Introduction to Linear Programming and Game Theory","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4612-4540-7","Louis Brickman","1989","http://link.springer.com/book/10.1007/978-1-4612-4540-7","Book"
"Introduction to Linear Algebra","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4612-1070-2","Serge Lang","1986","http://link.springer.com/book/10.1007/978-1-4612-1070-2","Book"
"The Heritage of Thales","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4612-0803-7","W. S. AnglinJ. Lambek","1995","http://link.springer.com/book/10.1007/978-1-4612-0803-7","Book"
