Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Mathematics for Computer Graphics","Undergraduate Topics in Computer Science","","","","10.1007/978-1-4471-6290-2","John Vince","2014","http://link.springer.com/book/10.1007/978-1-4471-6290-2","Book"
"Python Programming Fundamentals","Undergraduate Topics in Computer Science","","","","10.1007/978-1-4471-6642-9","Kent D. Lee","2014","http://link.springer.com/book/10.1007/978-1-4471-6642-9","Book"
"Communications and Networking","Undergraduate Topics in Computer Science","","","","10.1007/978-1-4471-4357-4","John Cowley","2013","http://link.springer.com/book/10.1007/978-1-4471-4357-4","Book"
"Python Programming Fundamentals","Undergraduate Topics in Computer Science","","","","10.1007/978-1-84996-537-8","Kent D. Lee","2011","http://link.springer.com/book/10.1007/978-1-84996-537-8","Book"
"Sensing and Systems in Pervasive Computing","Undergraduate Topics in Computer Science","","","","10.1007/978-0-85729-841-6","Dan Chalmers","2011","http://link.springer.com/book/10.1007/978-0-85729-841-6","Book"
"What Is Computer Science?","Undergraduate Topics in Computer Science","","","","10.1007/978-3-319-04042-4","Daniel PageNigel Smart","2014","http://link.springer.com/book/10.1007/978-3-319-04042-4","Book"
"Practical Analysis of Algorithms","Undergraduate Topics in Computer Science","","","","10.1007/978-3-319-09888-3","Dana VrajitoruWilliam Knight","2014","http://link.springer.com/book/10.1007/978-3-319-09888-3","Book"
"Sets, Logic and Maths for Computing","Undergraduate Topics in Computer Science","","","","10.1007/978-1-4471-2500-6","David Makinson","2012","http://link.springer.com/book/10.1007/978-1-4471-2500-6","Book"
"Data Structures and Algorithms with Python","Undergraduate Topics in Computer Science","","","","10.1007/978-3-319-13072-9","Kent D. LeeSteve Hubbard","2015","http://link.springer.com/book/10.1007/978-3-319-13072-9","Book"
"Principles of Digital Image Processing","Undergraduate Topics in Computer Science","","","","10.1007/978-1-84800-195-4","Wilhelm BurgerMark James Burge","2009","http://link.springer.com/book/10.1007/978-1-84800-195-4","Book"
"Analysis for Computer Scientists","Undergraduate Topics in Computer Science","","","","10.1007/978-0-85729-446-3","Michael OberguggenbergerAlexander Ostermann","2011","http://link.springer.com/book/10.1007/978-0-85729-446-3","Book"
"Embedded Operating Systems","Undergraduate Topics in Computer Science","","","","10.1007/978-1-4471-6603-0","Alan HoltChi-Yu Huang","2014","http://link.springer.com/book/10.1007/978-1-4471-6603-0","Book"
"Introduction to Artificial Intelligence","Undergraduate Topics in Computer Science","","","","10.1007/978-0-85729-299-5","Wolfgang Ertel","2011","http://link.springer.com/book/10.1007/978-0-85729-299-5","Book"
"Principles of Data Mining","Undergraduate Topics in Computer Science","","","","10.1007/978-1-4471-4884-5","Max Bramer","2013","http://link.springer.com/book/10.1007/978-1-4471-4884-5","Book"
"A Concise Introduction to Software Engineering","Undergraduate Topics in Computer Science","","","","10.1007/978-1-84800-302-6","Pankaj Jalote","2008","http://link.springer.com/book/10.1007/978-1-84800-302-6","Book"
"Fundamentals of Discrete Math for Computer Science","Undergraduate Topics in Computer Science","","","","10.1007/978-1-4471-4069-6","Tom JenkynsBen Stephenson","2013","http://link.springer.com/book/10.1007/978-1-4471-4069-6","Book"
"Multicore Programming Using the ParC Language","Undergraduate Topics in Computer Science","","","","10.1007/978-1-4471-2164-0","Yosi Ben-Asher","2012","http://link.springer.com/book/10.1007/978-1-4471-2164-0","Book"
"Concise Computer Vision","Undergraduate Topics in Computer Science","","","","10.1007/978-1-4471-6320-6","Reinhard Klette","2014","http://link.springer.com/book/10.1007/978-1-4471-6320-6","Book"
"Principles of Programming Languages","Undergraduate Topics in Computer Science","","","","10.1007/978-1-84882-032-6","Gilles Dowek","2009","http://link.springer.com/book/10.1007/978-1-84882-032-6","Book"
"Guide to Java","Undergraduate Topics in Computer Science","","","","10.1007/978-1-4471-6317-6","James T. StreibTakako Soma","2014","http://link.springer.com/book/10.1007/978-1-4471-6317-6","Book"
"Introduction to Video and Image Processing","Undergraduate Topics in Computer Science","","","","10.1007/978-1-4471-2503-7","Thomas B. Moeslund","2012","http://link.springer.com/book/10.1007/978-1-4471-2503-7","Book"
"A Concise Introduction to Languages and Machines","Undergraduate Topics in Computer Science","","","","10.1007/978-1-84800-121-3","Alan P. Parkes","2008","http://link.springer.com/book/10.1007/978-1-84800-121-3","Book"
"Introduction to Software Quality","Undergraduate Topics in Computer Science","","","","10.1007/978-3-319-06106-1","Gerard O’Regan","2014","http://link.springer.com/book/10.1007/978-3-319-06106-1","Book"
"Pattern Recognition","Undergraduate Topics in Computer Science","","","","10.1007/978-0-85729-495-1","Prof. M. Narasimha MurtyDr. V. Susheela Devi","2011","http://link.springer.com/book/10.1007/978-0-85729-495-1","Book"
"Mathematics for Computer Graphics","Undergraduate Topics in Computer Science","","","","10.1007/978-1-84996-023-6","Prof. John Vince MTech, PhD, DSc, CEng, FBCS","2010","http://link.springer.com/book/10.1007/978-1-84996-023-6","Book"
"Sets, Logic and Maths for Computing","Undergraduate Topics in Computer Science","","","","10.1007/978-1-84628-845-6","David Makinson","2008","http://link.springer.com/book/10.1007/978-1-84628-845-6","Book"
"A Concise and Practical Introduction to Programming Algorithms in Java","Undergraduate Topics in Computer Science","","","","10.1007/978-1-84882-339-6","Frank Nielsen","2009","http://link.springer.com/book/10.1007/978-1-84882-339-6","Book"
"Introduction to Software Process Improvement","Undergraduate Topics in Computer Science","","","","10.1007/978-0-85729-172-1","Gerard O'Regan","2011","http://link.springer.com/book/10.1007/978-0-85729-172-1","Book"
"Principles of Digital Image Processing","Undergraduate Topics in Computer Science","","","","10.1007/978-1-84882-919-0","Wilhelm BurgerMark J. Burge","2013","http://link.springer.com/book/10.1007/978-1-84882-919-0","Book"
"Programming Languages and Operational Semantics","Undergraduate Topics in Computer Science","","","","10.1007/978-1-4471-6368-8","Maribel Fernández","2014","http://link.springer.com/book/10.1007/978-1-4471-6368-8","Book"
"Introduction to Computer Graphics","Undergraduate Topics in Computer Science","","","","10.1007/978-1-4471-2733-8","Frank Klawonn","2012","http://link.springer.com/book/10.1007/978-1-4471-2733-8","Book"
"Proofs and Algorithms","Undergraduate Topics in Computer Science","","","","10.1007/978-0-85729-121-9","Gilles Dowek","2011","http://link.springer.com/book/10.1007/978-0-85729-121-9","Book"
"Programming Languages: Principles and Paradigms","Undergraduate Topics in Computer Science","","","","10.1007/978-1-84882-914-5","Maurizio GabbrielliSimone Martini","2010","http://link.springer.com/book/10.1007/978-1-84882-914-5","Book"
"Elements of Computer Security","Undergraduate Topics in Computer Science","","","","10.1007/978-0-85729-006-9","David Salomon","2010","http://link.springer.com/book/10.1007/978-0-85729-006-9","Book"
"Introduction to the Theory of Programming Languages","Undergraduate Topics in Computer Science","","","","10.1007/978-0-85729-076-2","Gilles DowekJean-Jacques Lévy","2011","http://link.springer.com/book/10.1007/978-0-85729-076-2","Book"
"Principles of Digital Image Processing","Undergraduate Topics in Computer Science","","","","10.1007/978-1-84800-191-6","Wilhelm BurgerMark James Burge","2009","http://link.springer.com/book/10.1007/978-1-84800-191-6","Book"
"Core Concepts in Data Analysis: Summarization, Correlation and Visualization","Undergraduate Topics in Computer Science","","","","10.1007/978-0-85729-287-2","Boris Mirkin","2011","http://link.springer.com/book/10.1007/978-0-85729-287-2","Book"
"Foundations of Programming Languages","Undergraduate Topics in Computer Science","","","","10.1007/978-3-319-13314-0","Kent D. Lee","2014","http://link.springer.com/book/10.1007/978-3-319-13314-0","Book"
"Introduction to Compiler Design","Undergraduate Topics in Computer Science","","","","10.1007/978-0-85729-829-4","Torben Ægidius Mogensen","2011","http://link.springer.com/book/10.1007/978-0-85729-829-4","Book"
"Modelling Computing Systems","Undergraduate Topics in Computer Science","","","","10.1007/978-1-84800-322-4","Faron MollerGeorg Struth","2013","http://link.springer.com/book/10.1007/978-1-84800-322-4","Book"
"Programming Language Concepts","Undergraduate Topics in Computer Science","","","","10.1007/978-1-4471-4156-3","Peter Sestoft","2012","http://link.springer.com/book/10.1007/978-1-4471-4156-3","Book"
"Guide to Scientific Computing in C++","Undergraduate Topics in Computer Science","","","","10.1007/978-1-4471-2736-9","Joe Pitt-FrancisJonathan Whiteley","2012","http://link.springer.com/book/10.1007/978-1-4471-2736-9","Book"
"Agile Software Engineering","Undergraduate Topics in Computer Science","","","","10.1007/978-1-84800-198-5","Orit HazzanYael Dubinsky","2008","http://link.springer.com/book/10.1007/978-1-84800-198-5","Book"
"Concise Guide to Databases","Undergraduate Topics in Computer Science","","","","10.1007/978-1-4471-5601-7","Peter LakePaul Crowther","2013","http://link.springer.com/book/10.1007/978-1-4471-5601-7","Book"
