Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Mathematical Concepts of Quantum Mechanics","Universitext","","","","10.1007/978-3-642-55729-3","Stephen J. GustafsonIsrael Michael Sigal","2003","http://link.springer.com/book/10.1007/978-3-642-55729-3","Book"
"Logic and Structure","Universitext","","","","10.1007/978-3-662-02962-6","Dirk van Dalen","1994","http://link.springer.com/book/10.1007/978-3-662-02962-6","Book"
"Introduction to Nonlinear Dispersive Equations","Universitext","","","","10.1007/978-0-387-84899-0","Gustavo PonceFelipe Linares","2009","http://link.springer.com/book/10.1007/978-0-387-84899-0","Book"
"Formal Power Series and Linear Systems of Meromorphic Ordinary Differential Equations","Universitext","","","","10.1007/b97608","Werner Balser","2000","http://link.springer.com/book/10.1007/b97608","Book"
"Geometries and Groups","Universitext","","","","10.1007/978-3-642-61570-2","Viacheslav V. NikulinIgor R. Shafarevich","1994","http://link.springer.com/book/10.1007/978-3-642-61570-2","Book"
"A Textbook of Graph Theory","Universitext","","","","10.1007/978-1-4419-8505-7","R. BalakrishnanK. Ranganathan","2000","http://link.springer.com/book/10.1007/978-1-4419-8505-7","Book"
"Complex Analysis","Universitext","","","","10.1007/978-1-4613-8295-9","D. H. LueckingL. A. Rubel","1984","http://link.springer.com/book/10.1007/978-1-4613-8295-9","Book"
"An Invitation to Algebraic Geometry","Universitext","","","","10.1007/978-1-4757-4497-2","Karen E. SmithLauri KahanpääPekka KekäläinenWilliam Traves","2000","http://link.springer.com/book/10.1007/978-1-4757-4497-2","Book"
"Differential Forms","Universitext","","","","10.1007/978-1-4612-9940-0","M. Schreiber","1977","http://link.springer.com/book/10.1007/978-1-4612-9940-0","Book"
"A First Course in Discrete Dynamical Systems","Universitext","","","","10.1007/978-1-4684-0222-3","Richard A. Holmgren","1994","http://link.springer.com/book/10.1007/978-1-4684-0222-3","Book"
"Dynamical Systems","Universitext","","","","10.1007/978-1-4471-4835-7","Luis BarreiraClaudia Valls","2013","http://link.springer.com/book/10.1007/978-1-4471-4835-7","Book"
"A Concise Introduction to Mathematical Logic","Universitext","","","","10.1007/978-1-4419-1221-3","Wolfgang Rautenberg","2010","http://link.springer.com/book/10.1007/978-1-4419-1221-3","Book"
"Matrix Theory","Universitext","","","","10.1007/978-1-4614-1099-7","Fuzhen Zhang","2011","http://link.springer.com/book/10.1007/978-1-4614-1099-7","Book"
"An Invitation to Morse Theory","Universitext","","","","10.1007/978-0-387-49510-1","Liviu Nicolaescu","2007","http://link.springer.com/book/10.1007/978-0-387-49510-1","Book"
"Potential Theory","Universitext","","","","10.1007/978-3-642-71131-2","Jürgen BliedtnerWolfhard Hansen","1986","http://link.springer.com/book/10.1007/978-3-642-71131-2","Book"
"Introductory Problem Courses in Analysis and Topology","Universitext","","","","10.1007/978-1-4613-8183-9","Edwin E. Moise","1982","http://link.springer.com/book/10.1007/978-1-4613-8183-9","Book"
"Compact Riemann Surfaces","Universitext","","","","10.1007/978-3-662-04745-3","Jürgen Jost","2002","http://link.springer.com/book/10.1007/978-3-662-04745-3","Book"
"Introduction to the Mori Program","Universitext","","","","10.1007/978-1-4757-5602-9","Kenji Matsuki","2002","http://link.springer.com/book/10.1007/978-1-4757-5602-9","Book"
"Numerical Solution of SDE Through Computer Experiments","Universitext","","","","10.1007/978-3-642-57913-4","Peter E. KloedenEckhard PlatenHenri Schurz","1994","http://link.springer.com/book/10.1007/978-3-642-57913-4","Book"
"Nonstandard Analysis in Practice","Universitext","","","","10.1007/978-3-642-57758-1","Francine DienerMarc Diener","1995","http://link.springer.com/book/10.1007/978-3-642-57758-1","Book"
"Stochastic Differential Equations","Universitext","","","","10.1007/978-3-662-02847-6","Bernt Øksendal","1992","http://link.springer.com/book/10.1007/978-3-662-02847-6","Book"
"Vitushkin’s Conjecture for Removable Sets","Universitext","","","","10.1007/978-1-4419-6709-1","James J. Dudziak","2010","http://link.springer.com/book/10.1007/978-1-4419-6709-1","Book"
"Number Fields","Universitext","","","","10.1007/978-1-4684-9356-6","Dr. Daniel A. Marcus","1977","http://link.springer.com/book/10.1007/978-1-4684-9356-6","Book"
"Logic and Structure","Universitext","","","","10.1007/978-3-662-08402-1","Dirk van Dalen","1980","http://link.springer.com/book/10.1007/978-3-662-08402-1","Book"
"Lie Groups","Universitext","","","","10.1007/978-3-642-56936-4","J. J. DuistermaatJ. A. C. Kolk","2000","http://link.springer.com/book/10.1007/978-3-642-56936-4","Book"
"Mechanizing Hypothesis Formation","Universitext","","","","10.1007/978-3-642-66943-9","Petr HájekTomáš Havránek","1978","http://link.springer.com/book/10.1007/978-3-642-66943-9","Book"
"Riemannian Geometry and Geometric Analysis","Universitext","","","","10.1007/978-3-642-21298-7","Jürgen Jost","2011","http://link.springer.com/book/10.1007/978-3-642-21298-7","Book"
"Mathematical Analysis II","Universitext","","","","10.1007/978-88-470-1784-9","Claudio CanutoAnita Tabacco","2010","http://link.springer.com/book/10.1007/978-88-470-1784-9","Book"
"Classical Fourier Transforms","Universitext","","","","10.1007/978-3-642-74029-9","Komaravolu Chandrasekharan","1989","http://link.springer.com/book/10.1007/978-3-642-74029-9","Book"
"Measure, Integral, Derivative","Universitext","","","","10.1007/978-1-4614-7196-7","Sergei Ovchinnikov","2013","http://link.springer.com/book/10.1007/978-1-4614-7196-7","Book"
"An Invitation to von Neumann Algebras","Universitext","","","","10.1007/978-1-4613-8669-8","V. S. Sunder","1987","http://link.springer.com/book/10.1007/978-1-4613-8669-8","Book"
"Informal Introduction to Stochastic Processes with Maple","Universitext","","","","10.1007/978-1-4614-4057-4","Jan VrbikPaul Vrbik","2013","http://link.springer.com/book/10.1007/978-1-4614-4057-4","Book"
"Riemannian Geometry","Universitext","","","","10.1007/978-3-642-97242-3","Sylvestre GallotDominique HulinJacques Lafontaine","1990","http://link.springer.com/book/10.1007/978-3-642-97242-3","Book"
"Class Field Theory","Universitext","","","","10.1007/978-0-387-72490-4","Nancy Childress","2009","http://link.springer.com/book/10.1007/978-0-387-72490-4","Book"
"Normal Families","Universitext","","","","10.1007/978-1-4612-0907-2","Joel L. Schiff","1993","http://link.springer.com/book/10.1007/978-1-4612-0907-2","Book"
"The Pillars of Computation Theory","Universitext","","","","10.1007/978-0-387-09639-1","Arnold L. Rosenberg","2010","http://link.springer.com/book/10.1007/978-0-387-09639-1","Book"
"Linear Algebra and Linear Models","Universitext","","","","10.1007/b97609","R. B. Bapat","2000","http://link.springer.com/book/10.1007/b97609","Book"
"Probability Essentials","Universitext","","","","10.1007/978-3-642-55682-1","Jean JacodPhilip Protter","2004","http://link.springer.com/book/10.1007/978-3-642-55682-1","Book"
"An Invitation to Morse Theory","Universitext","","","","10.1007/978-1-4614-1105-5","Liviu Nicolaescu","2011","http://link.springer.com/book/10.1007/978-1-4614-1105-5","Book"
"Complex Analysis 2","Universitext","","","","10.1007/978-3-642-20554-5","Eberhard Freitag","2011","http://link.springer.com/book/10.1007/978-3-642-20554-5","Book"
"Introduction to Étale Cohomology","Universitext","","","","10.1007/978-3-642-78421-7","Günter Tamme","1994","http://link.springer.com/book/10.1007/978-3-642-78421-7","Book"
"Geometric and Analytic Number Theory","Universitext","","","","10.1007/978-3-642-75306-0","Edmund HlawkaRudolf TaschnerJohannes Schoißengeier","1991","http://link.springer.com/book/10.1007/978-3-642-75306-0","Book"
"Local Bifurcations, Center Manifolds, and Normal Forms in Infinite-Dimensional Dynamical Systems","Universitext","","","","10.1007/978-0-85729-112-7","Mariana HaragusGérard Iooss","2011","http://link.springer.com/book/10.1007/978-0-85729-112-7","Book"
"Mathematical Modeling in Epidemiology","Universitext","","","","10.1007/978-3-642-67795-3","James C. Frauenthal","1980","http://link.springer.com/book/10.1007/978-3-642-67795-3","Book"
"Topics in Hyperplane Arrangements, Polytopes and Box-Splines","Universitext","","","","10.1007/978-0-387-78963-7","Corrado De ConciniClaudio Procesi","2010","http://link.springer.com/book/10.1007/978-0-387-78963-7","Book"
