Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"ggplot2","Use R","","","","10.1007/978-0-387-98141-3","Hadley Wickham","2009","http://link.springer.com/book/10.1007/978-0-387-98141-3","Book"
"Seamless R and C++ Integration with Rcpp","Use R!","","","","10.1007/978-1-4614-6868-4","Dirk Eddelbuettel","2013","http://link.springer.com/book/10.1007/978-1-4614-6868-4","Book"
"Analysis of Phylogenetics and Evolution with R","Use R!","","","","10.1007/978-1-4614-1743-9","Emmanuel Paradis","2012","http://link.springer.com/book/10.1007/978-1-4614-1743-9","Book"
"R Through Excel","Use R","","","","10.1007/978-1-4419-0052-4","Richard M. HeibergerErich Neuwirth","2009","http://link.springer.com/book/10.1007/978-1-4419-0052-4","Book"
"Applied Econometrics with R","Use R","","","","10.1007/978-0-387-77318-6","Christian KleiberAchim Zeileis","2008","http://link.springer.com/book/10.1007/978-0-387-77318-6","Book"
"Business Analytics for Managers","Use R","","","","10.1007/978-1-4614-0406-4","Wolfgang Jank","2011","http://link.springer.com/book/10.1007/978-1-4614-0406-4","Book"
"Dynamic Linear Models with R","Use R","","","","10.1007/b135794","Patrizia CampagnoliSonia PetroneGiovanni Petris","2009","http://link.springer.com/book/10.1007/b135794","Book"
"Statistical Methods for Environmental Epidemiology with R","Use R","","","","10.1007/978-0-387-78167-9","Francesca DominiciRoger D. Peng","2008","http://link.springer.com/book/10.1007/978-0-387-78167-9","Book"
"Introductory Time Series with R","Use R","","","","10.1007/978-0-387-88698-5","Andrew V. MetcalfePaul S.P. Cowpertwait","2009","http://link.springer.com/book/10.1007/978-0-387-88698-5","Book"
"Graphical Models with R","Use R!","","","","10.1007/978-1-4614-2299-0","Søren HøjsgaardDavid EdwardsSteffen Lauritzen","2012","http://link.springer.com/book/10.1007/978-1-4614-2299-0","Book"
"Multistate Analysis of Life Histories with R","Use R!","","","","10.1007/978-3-319-08383-4","Frans Willekens","2014","http://link.springer.com/book/10.1007/978-3-319-08383-4","Book"
"R by Example","Use R!","","","","10.1007/978-1-4614-1365-3","Jim AlbertMaria Rizzo","2012","http://link.springer.com/book/10.1007/978-1-4614-1365-3","Book"
"A Beginner's Guide to R","Use R","","","","10.1007/978-0-387-93837-0","Alain F. ZuurElena N. IenoErik Meesters","2009","http://link.springer.com/book/10.1007/978-0-387-93837-0","Book"
"Data Mining with Rattle and R","Use R","","","","10.1007/978-1-4419-9890-3","Graham Williams","2011","http://link.springer.com/book/10.1007/978-1-4419-9890-3","Book"
"Morphometrics with R","Use R","","","","10.1007/978-0-387-77789-4","Julien Claude","2008","http://link.springer.com/book/10.1007/978-0-387-77789-4","Book"
"Competing Risks and Multistate Models with R","Use R!","","","","10.1007/978-1-4614-2035-4","Jan BeyersmannArthur AllignolMartin Schumacher","2012","http://link.springer.com/book/10.1007/978-1-4614-2035-4","Book"
"Modern Optimization with R","Use R!","","","","10.1007/978-3-319-08263-9","Paulo Cortez","2014","http://link.springer.com/book/10.1007/978-3-319-08263-9","Book"
"Introduction to Probability Simulation and Gibbs Sampling with R","Use R","","","","10.1007/978-0-387-68765-0","Eric A. SuessBruce E. Trumbo","2010","http://link.springer.com/book/10.1007/978-0-387-68765-0","Book"
"Chemometrics with R","Use R","","","","10.1007/978-3-642-17841-2","Ron Wehrens","2011","http://link.springer.com/book/10.1007/978-3-642-17841-2","Book"
"Functional Data Analysis with R and MATLAB","Use R","","","","10.1007/978-0-387-98185-7","James RamsayGiles HookerSpencer Graves","2009","http://link.springer.com/book/10.1007/978-0-387-98185-7","Book"
"Functional and Phylogenetic Ecology in R","Use R!","","","","10.1007/978-1-4614-9542-0","Nathan G. Swenson","2014","http://link.springer.com/book/10.1007/978-1-4614-9542-0","Book"
"An Introduction to Applied Multivariate Analysis with R","Use R","","","","10.1007/978-1-4419-9650-3","Brian EverittTorsten Hothorn","2011","http://link.springer.com/book/10.1007/978-1-4419-9650-3","Book"
