Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Innovations in Quantitative Risk Management","Springer Proceedings in Mathematics & Statistics","","","","10.1007/978-3-319-09114-3","Kathrin GlauMatthias SchererRudi Zagst","2015","http://link.springer.com/book/10.1007/978-3-319-09114-3","Book"
"Hidden Collective Factors in Speculative Trading","","","","","10.1007/978-3-642-03048-2","Bertrand M. Roehner","2009","http://link.springer.com/book/10.1007/978-3-642-03048-2","Book"
"Modular Pricing of Options","Lecture Notes in Economics and Mathematical Systems","","","","10.1007/978-3-662-04309-7","Dr. Jianwei Zhu","2000","http://link.springer.com/book/10.1007/978-3-662-04309-7","Book"
"Finanza Matematica","UNITEXT","","","","10.1007/978-88-470-1442-8","Andrea PascucciWolfgang J. Runggaldier","2009","http://link.springer.com/book/10.1007/978-88-470-1442-8","Book"
"Predictions in Time Series Using Regression Models","","","","","10.1007/978-1-4757-3629-8","František Štulajter","2002","http://link.springer.com/book/10.1007/978-1-4757-3629-8","Book"
"Electricity Derivatives","SpringerBriefs in Quantitative Finance","","","","10.1007/978-3-319-08395-7","René Aïd","2015","http://link.springer.com/book/10.1007/978-3-319-08395-7","Book"
"Continuous-time Stochastic Control and Optimization with Financial Applications","Stochastic Modelling and Applied Probability","","","","10.1007/978-3-540-89500-8","Huyên Pham","2009","http://link.springer.com/book/10.1007/978-3-540-89500-8","Book"
"Risk Measures and Attitudes","EAA Series","","","","10.1007/978-1-4471-4926-2","Francesca BiaginiAndreas RichterHarris Schlesinger","2013","http://link.springer.com/book/10.1007/978-1-4471-4926-2","Book"
"Option Pricing in Fractional Brownian Markets","Lecture Notes in Economics and Mathematical Systems","","","","10.1007/978-3-642-00331-8","Stefan Rostek","2009","http://link.springer.com/book/10.1007/978-3-642-00331-8","Book"
"The Basel II Risk Parameters","","","","","10.1007/978-3-642-16114-8","Bernd EngelmannRobert Rauhmeier","2011","http://link.springer.com/book/10.1007/978-3-642-16114-8","Book"
"Local Regression and Likelihood","Statistics and Computing","","","","10.1007/b98858","Clive Loader","1999","http://link.springer.com/book/10.1007/b98858","Book"
"Parameter Estimation in Stochastic Differential Equations","Lecture Notes in Mathematics","","","","10.1007/978-3-540-74448-1","Jaya P. N. Bishwal","2008","http://link.springer.com/book/10.1007/978-3-540-74448-1","Book"
"Malliavin Calculus for Lévy Processes with Applications to Finance","Universitext","","","","10.1007/978-3-540-78572-9","Giulia Di NunnoBernt ØksendalFrank Proske","2009","http://link.springer.com/book/10.1007/978-3-540-78572-9","Book"
"Mathematical and Statistical Methods for Actuarial Sciences and Finance","","","","","10.1007/978-88-470-2342-0","Cira PernaMarilena Sibillo","2012","http://link.springer.com/book/10.1007/978-88-470-2342-0","Book"
"Interest Rate Derivatives","Lecture Notes in Economics and Mathematical Systems","","","","10.1007/978-3-642-34925-6","Ingo Beyna","2013","http://link.springer.com/book/10.1007/978-3-642-34925-6","Book"
"The Mathematics of Arbitrage","Springer Finance","","","","10.1007/978-3-540-31299-4","Freddy DelbaenWalter Schachermayer","2006","http://link.springer.com/book/10.1007/978-3-540-31299-4","Book"
"Stock Market Modeling and Forecasting","Lecture Notes in Control and Information Sciences","","","","10.1007/978-1-4471-5155-5","Xiaolian ZhengBen M. Chen","2013","http://link.springer.com/book/10.1007/978-1-4471-5155-5","Book"
"Financial Derivatives Modeling","","","","","10.1007/978-3-642-22155-2","Christian Ekstrand","2011","http://link.springer.com/book/10.1007/978-3-642-22155-2","Book"
"Interest Rate Models — Theory and Practice","Springer Finance","","","","10.1007/978-3-540-34604-3","Damiano BrigoFabio Mercurio","2006","http://link.springer.com/book/10.1007/978-3-540-34604-3","Book"
"Mathematical Modeling of Collective Behavior in Socio-Economic and Life Sciences","Modeling and Simulation in Science, Engineering and Technology","","","","10.1007/978-0-8176-4946-3","Giovanni NaldiLorenzo PareschiGiuseppe Toscani","2010","http://link.springer.com/book/10.1007/978-0-8176-4946-3","Book"
"Venture Capital","","","","","10.1007/978-3-540-24829-3","Prof. Stefano CaselliProf. Stefano Gatti","2004","http://link.springer.com/book/10.1007/978-3-540-24829-3","Book"
"A Course in Credibility Theory and its Applications","Universitext","","","","10.1007/3-540-29273-X","Professor Hans BühlmannProfessor Alois Gisler","2005","http://link.springer.com/book/10.1007/3-540-29273-X","Book"
"Elements of Mathematics for Economics and Finance","","","","","10.1007/978-1-84628-561-5","Vassilis C. Mavron MA, MSc, PhDTimothy N. Phillips MA, MSc, DPhil, DSc","2007","http://link.springer.com/book/10.1007/978-1-84628-561-5","Book"
"Simulation and Inference for Stochastic Differential Equations","Springer Series in Statistics","","","","10.1007/978-0-387-75839-8","Stefano M. Iacus","2008","http://link.springer.com/book/10.1007/978-0-387-75839-8","Book"
"Fluctuations of Lévy Processes with Applications","Universitext","","","","10.1007/978-3-642-37632-0","Andreas E. Kyprianou","2014","http://link.springer.com/book/10.1007/978-3-642-37632-0","Book"
"An Introduction to Continuous-Time Stochastic Processes","Modeling and Simulation in Science, Engineering and Technology","","","","10.1007/978-0-8176-8346-7","Vincenzo CapassoDavid Bakstein","2012","http://link.springer.com/book/10.1007/978-0-8176-8346-7","Book"
"Financial Risk in Insurance","","","","","10.1007/978-3-642-57846-5","G. Ottaviani","2000","http://link.springer.com/book/10.1007/978-3-642-57846-5","Book"
"Mathematical Models of Financial Derivatives","Springer Finance","","","","10.1007/978-3-540-68688-0","Yue-Kuen Kwok","2008","http://link.springer.com/book/10.1007/978-3-540-68688-0","Book"
"Paris-Princeton Lectures on Mathematical Finance 2004","Lecture Notes in Mathematics","","","","10.1007/978-3-540-73327-0","René A. CarmonaIvar EkelandArturo Kohatsu-HigaJean-Michel LasryPierre-Louis LionsHuyên PhamErik Taflin","2007","http://link.springer.com/book/10.1007/978-3-540-73327-0","Book"
"Computational Intelligence in Economics and Finance","Advanced Information Processing","","","","10.1007/978-3-662-06373-6","Shu-Heng ChenPaul P. Wang","2004","http://link.springer.com/book/10.1007/978-3-662-06373-6","Book"
"Selected Works of C.C. Heyde","Selected Works in Probability and Statistics","","","","10.1007/978-1-4419-5823-5","Ross MallerIshwar BasawaPeter HallEugene Seneta","2010","http://link.springer.com/book/10.1007/978-1-4419-5823-5","Book"
"Pricing Derivative Credit Risk","Lecture Notes in Economics and Mathematical Systems","","","","10.1007/978-3-662-22330-7","Dr. Manuel Ammann","1999","http://link.springer.com/book/10.1007/978-3-662-22330-7","Book"
"Mathematical Methods for Financial Markets","Springer Finance","","","","10.1007/978-1-84628-737-4","Monique JeanblancMarc YorMarc Chesney","2009","http://link.springer.com/book/10.1007/978-1-84628-737-4","Book"
"Introduction to Quasi-Monte Carlo Integration and Applications","Compact Textbooks in Mathematics","","","","10.1007/978-3-319-03425-6","Gunther LeobacherFriedrich Pillichshammer","2014","http://link.springer.com/book/10.1007/978-3-319-03425-6","Book"
"Biologically Inspired Algorithms for Financial Modelling","Natural Computing Series","","","","10.1007/3-540-31307-9","Dr. Anthony BrabazonDr. Michael O’Neill","2006","http://link.springer.com/book/10.1007/3-540-31307-9","Book"
"Risk Management in Credit Portfolios","Contributions to Economics","","","","10.1007/978-3-7908-2607-4","Martin Hibbeln","2010","http://link.springer.com/book/10.1007/978-3-7908-2607-4","Book"
"Financial Pricing Models in Continuous Time and Kalman Filtering","Lecture Notes in Economics and Mathematical Systems","","","","10.1007/978-3-662-21901-0","Dr. B. Philipp Kellerhals","2001","http://link.springer.com/book/10.1007/978-3-662-21901-0","Book"
"The Value of Information Updating in New Product Development","Lecture Notes in Economics and Mathematical Systems","","","","10.1007/978-3-540-93833-0","Christian Artmann","2009","http://link.springer.com/book/10.1007/978-3-540-93833-0","Book"
"Exponential Functionals of Brownian Motion and Related Processes","Springer Finance","","","","10.1007/978-3-642-56634-9","Marc Yor","2001","http://link.springer.com/book/10.1007/978-3-642-56634-9","Book"
"Extreme Financial Risks","","","","","10.1007/b138841","Yannick MalevergneDidier Sornette","2006","http://link.springer.com/book/10.1007/b138841","Book"
"Methods of Mathematical Finance","Applications of Mathematics","","","","10.1007/b98840","Ioannis KaratzasSteven E. Shreve","1998","http://link.springer.com/book/10.1007/b98840","Book"
"Real Estate Investment","Springer Texts in Business and Economics","","","","10.1007/978-3-642-23527-6","G Jason GoddardBill Marcum","2012","http://link.springer.com/book/10.1007/978-3-642-23527-6","Book"
"A Time Series Approach to Option Pricing","","","","","10.1007/978-3-662-45037-6","Christophe ChorroDominique GuéganFlorian Ielpo","2015","http://link.springer.com/book/10.1007/978-3-662-45037-6","Book"
"Loeb Measures in Practice: Recent Advances","Lecture Notes in Mathematics","","","","10.1007/b76881","Nigel J. Cutland","2000","http://link.springer.com/book/10.1007/b76881","Book"
"How to Solve It: Modern Heuristics","","","","","10.1007/978-3-662-04131-4","Dr. Zbigniew MichalewiczDr. David B. Fogel","2000","http://link.springer.com/book/10.1007/978-3-662-04131-4","Book"
"Asymptotic Chaos Expansions in Finance","Springer Finance","","","","10.1007/978-1-4471-6506-4","David Nicolay","2014","http://link.springer.com/book/10.1007/978-1-4471-6506-4","Book"
"Sovereign Default Risk Valuation","Lecture Notes in Economics and Mathematical Systems","","","","10.1007/978-3-540-37449-7","Jochen Andritzky","2006","http://link.springer.com/book/10.1007/978-3-540-37449-7","Book"
"Modeling Financial Time Series with S-Plus®","","","","","10.1007/978-0-387-21763-5","Eric ZivotJiahui Wang","2003","http://link.springer.com/book/10.1007/978-0-387-21763-5","Book"
"Non-Life Insurance Mathematics","Universitext","","","","10.1007/3-540-44889-6","Thomas Mikosch","2004","http://link.springer.com/book/10.1007/3-540-44889-6","Book"
"Aspects of Mathematical Finance","","","","","10.1007/978-3-540-75265-3","Marc Yor","2008","http://link.springer.com/book/10.1007/978-3-540-75265-3","Book"
"Estimation in Conditionally Heteroscedastic Time Series Models","Lecture Notes in Statistics","","","","10.1007/b138400","Daniel Straumann","2005","http://link.springer.com/book/10.1007/b138400","Book"
"Advances in Mathematical Economics","Advances in Mathematical Economics","","","","10.1007/978-4-431-53979-7","Shigeo KusuokaToru Maruyama","2003","http://link.springer.com/book/10.1007/978-4-431-53979-7","Book"
"Progress in Industrial Mathematics at ECMI 2002","The European Consortium for Mathematics in Industry","","","","10.1007/978-3-662-09510-2","Andris BuikisRaimondas ČiegisAlistair D. Fitt","2004","http://link.springer.com/book/10.1007/978-3-662-09510-2","Book"
"Interest Rate Models Theory and Practice","Springer Finance","","","","10.1007/978-3-662-04553-4","Damiano BrigoFabio Mercurio","2001","http://link.springer.com/book/10.1007/978-3-662-04553-4","Book"
"Term-Structure Models","Springer Finance","","","","10.1007/978-3-540-68015-4","Damir Filipovic","2009","http://link.springer.com/book/10.1007/978-3-540-68015-4","Book"
"Periodic Systems","Communications and Control Engineering","","","","10.1007/978-1-84800-911-0","Sergio BittantiPatrizio Colaneri","2009","http://link.springer.com/book/10.1007/978-1-84800-911-0","Book"
"Modern Problems in Insurance Mathematics","EAA Series","","","","10.1007/978-3-319-06653-0","Dmitrii SilvestrovAnders Martin-Löf","2014","http://link.springer.com/book/10.1007/978-3-319-06653-0","Book"
"Scenario Logic and Probabilistic Management of Risk in Business and Engineering","Springer Optimization and Its Applications","","","","10.1007/978-0-387-77946-1","Evgueni D. Solojentsev","2009","http://link.springer.com/book/10.1007/978-0-387-77946-1","Book"
"Inspired by Finance","","","","","10.1007/978-3-319-02069-3","Yuri KabanovMarek RutkowskiThaleia Zariphopoulou","2014","http://link.springer.com/book/10.1007/978-3-319-02069-3","Book"
"Statistics of Financial Markets","Universitext","","","","10.1007/978-3-642-11134-1","Szymon BorakWolfgang Karl HärdleBrenda López Cabrera","2010","http://link.springer.com/book/10.1007/978-3-642-11134-1","Book"
"Séminaire de probabilités 1967 - 1980","Lecture Notes in Mathematics","","","","10.1007/b82894","Michel ÉmeryMarc Yor","2002","http://link.springer.com/book/10.1007/b82894","Book"
"Derivative Pricing in Discrete Time","Springer Undergraduate Mathematics Series","","","","10.1007/978-1-4471-4408-3","Nigel J. CutlandAlet Roux","2013","http://link.springer.com/book/10.1007/978-1-4471-4408-3","Book"
