Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Financial Performance Measures and Value Creation: the State of the Art","SpringerBriefs in Business","","","","10.1007/978-88-470-2451-9","Daniela Venanzi","2012","http://link.springer.com/book/10.1007/978-88-470-2451-9","Book"
"Family Firms in Transition","SpringerBriefs in Business","","","","10.1007/978-1-4614-1201-4","Alan L. CarsrudMalin Brännback","2012","http://link.springer.com/book/10.1007/978-1-4614-1201-4","Book"
"Random Regret-based Discrete Choice Modeling","SpringerBriefs in Business","","","","10.1007/978-3-642-29151-7","Caspar G. Chorus","2012","http://link.springer.com/book/10.1007/978-3-642-29151-7","Book"
"Social Banking and Social Finance","SpringerBriefs in Business","","","","10.1007/978-1-4419-7774-8","Roland Benedikter","2011","http://link.springer.com/book/10.1007/978-1-4419-7774-8","Book"
"Real Options and Strategic Technology Venturing","SpringerBriefs in Business","","","","10.1007/978-1-4614-5814-2","Caroline M. SippElias G. Carayannis","2013","http://link.springer.com/book/10.1007/978-1-4614-5814-2","Book"
"Corporate Social Responsibility Reporting in China","SpringerBriefs in Business","","","","10.1007/978-3-642-54152-0","Kwang-Yong Shin","2014","http://link.springer.com/book/10.1007/978-3-642-54152-0","Book"
"Transnational Marketing and Transnational Consumers","SpringerBriefs in Business","","","","10.1007/978-3-642-36775-5","Ibrahim Sirkeci","2013","http://link.springer.com/book/10.1007/978-3-642-36775-5","Book"
"Performance Measurement with the Balanced Scorecard","SpringerBriefs in Business","","","","10.1007/978-3-642-24761-3","Stefano BiazzoPatrizia Garengo","2012","http://link.springer.com/book/10.1007/978-3-642-24761-3","Book"
"Understanding the Myth of High Growth Firms","SpringerBriefs in Business","","","","10.1007/978-1-4614-9457-7","Malin BrännbackAlan L. CarsrudNiklas Kiviluoto","2014","http://link.springer.com/book/10.1007/978-1-4614-9457-7","Book"
"Excel-Based Business Analysis","SpringerBriefs in Business","","","","10.1007/978-1-4614-2050-7","Ali AnariJames W. Kolari","2012","http://link.springer.com/book/10.1007/978-1-4614-2050-7","Book"
"Management and Valuation of Heritage Assets","SpringerBriefs in Business","","","","10.1007/978-3-319-01763-1","Loris LandrianiMatteo Pozzoli","2014","http://link.springer.com/book/10.1007/978-3-319-01763-1","Book"
"Top Down Innovation","SpringerBriefs in Business","","","","10.1007/978-3-319-03901-5","Mary J Cronin","2014","http://link.springer.com/book/10.1007/978-3-319-03901-5","Book"
